comparison,gse_1,gse_2,cui_tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2,title_1_full,title_2_full,summary_1,summary_2,summary_1_norm,summary_2_norm,same_summary,same_cui_set,pmid_1,pmid_2,shared_pmid,same_pmid,subseries_1,subseries_2,shared_subseries,same_subseries,superseries_1,superseries_2,shared_superseries,same_superseries,affiliation_1,affiliation_2,shared_affiliation,same_affiliation,BioProject_1,BioProject_2,shared_BioProject,same_BioProject,SRA_1,SRA_2,shared_SRA,same_SRA,same_source_prediction,same_source_confidence,title_1_norm,title_2_norm,text_1_norm,text_2_norm,title_damerau_sim,summary_damerau_sim,text_damerau_sim,title_edit_high,summary_edit_high,text_edit_high,edit_high,cui_high,edit_cui_pattern
within_mouse,GSE95434,GSE95445,0.96598732369585,52,251.22413818624509,"['C0001675', 'C0004561', 'C0007634', 'C0014597', 'C0017272', 'C0023172', 'C0023621', 'C0023622', 'C0023625', 'C0024659', 'C0025914', 'C0025929', 'C0026809', 'C0162327', 'C0162801', 'C0181839', 'C0181849', 'C0205266', 'C0205653', 'C0220781', 'C0221908', 'C0222604', 'C0266399', 'C0491970', 'C0492708', 'C0524983', 'C0598312', 'C0683572', 'C0751606', 'C0872147', 'C0872403', 'C0929301', 'C1294197', 'C1413131', 'C1417166', 'C1516944', 'C1521827', 'C1553778', 'C1561491', 'C1706450', 'C1817262', 'C1883254', 'C1947912', 'C3839098', 'C3858762', 'C3858781', 'C3899739', 'C4086963', 'C4323874', 'C4760607', 'C5554878', 'C5669539']","Single cell RNA-seq of 346 epithelial cells from the mammary glands of pre-pubescent, pubescent and adult mice",Single cell RNA-seq of 444 epithelial cells from the mammary glands of pubescent and adult mice,"Single cell RNA-seq of 346 epithelial cells from the mammary glands of pre-pubescent, pubescent and adult mice",Single cell RNA-seq of 444 epithelial cells from the mammary glands of pubescent and adult mice,"Mammary glands were collected from pre-pubescent (2 weeks old), pubescent (4.7- 4.9 weeks old) and adult (10 week-old) female mice. Freshly sorted epithelial cells were submitted to a Fluidigm C1 System machine for single cell capture and cDNA synthesis. Cells were visualized under a microscope to ensure integrity of the captured single cells prior to cDNA preparation. Libraries were prepared using the Nextera XT kit and sequencing was carried out on an Illumina Hiseq 2000 to achieve 100 bp paired-end reads.",Mammary glands were collected from 8 pubescent (4.7-4.9 week-old) female mice and 8 adult (10 week old) female mice. Freshly sorted epithelial cells were submitted to a Fluidigm C1 System machine for single cell capture and cDNA synthesis. Cells were visualized under the microscope to ensure integrity of the captured single cells prior to cDNA preparation. Libraries were prepared using the Nextera XT kit and sequencing was carried out on an Illumina NextSeq 500 to achieve paired-end 75 bp reads.,"mammary glands were collected from pre-pubescent (2 weeks old), pubescent (4.7- 4.9 weeks old) and adult (10 week-old) female mice. freshly sorted epithelial cells were submitted to a fluidigm c1 system machine for single cell capture and cdna synthesis. cells were visualized under a microscope to ensure integrity of the captured single cells prior to cdna preparation. libraries were prepared using the nextera xt kit and sequencing was carried out on an illumina hiseq 2000 to achieve 100 bp paired-end reads.",mammary glands were collected from 8 pubescent (4.7-4.9 week-old) female mice and 8 adult (10 week old) female mice. freshly sorted epithelial cells were submitted to a fluidigm c1 system machine for single cell capture and cdna synthesis. cells were visualized under the microscope to ensure integrity of the captured single cells prior to cdna preparation. libraries were prepared using the nextera xt kit and sequencing was carried out on an illumina nextseq 500 to achieve paired-end 75 bp reads.,False,False,29158510,29158510,['29158510'],True,['GSE98131'],['GSE98131'],"[""['GSE98131']""]",True,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA377115'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA377129'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP100784'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP100788'],[],False,True,Very High,"single cell rna-seq of 346 epithelial cells from the mammary glands of pre-pubescent, pubescent and adult mice",single cell rna-seq of 444 epithelial cells from the mammary glands of pubescent and adult mice,"single cell rna-seq of 346 epithelial cells from the mammary glands of pre-pubescent, pubescent and adult mice mammary glands were collected from pre-pubescent (2 weeks old), pubescent (4.7- 4.9 weeks old) and adult (10 week-old) female mice. freshly sorted epithelial cells were submitted to a fluidigm c1 system machine for single cell capture and cdna synthesis. cells were visualized under a microscope to ensure integrity of the captured single cells prior to cdna preparation. libraries were prepared using the nextera xt kit and sequencing was carried out on an illumina hiseq 2000 to achieve 100 bp paired-end reads.",single cell rna-seq of 444 epithelial cells from the mammary glands of pubescent and adult mice mammary glands were collected from 8 pubescent (4.7-4.9 week-old) female mice and 8 adult (10 week old) female mice. freshly sorted epithelial cells were submitted to a fluidigm c1 system machine for single cell capture and cdna synthesis. cells were visualized under the microscope to ensure integrity of the captured single cells prior to cdna preparation. libraries were prepared using the nextera xt kit and sequencing was carried out on an illumina nextseq 500 to achieve paired-end 75 bp reads.,0.8454545454545455,0.8732943469785575,0.8685897435897436,False,False,False,False,True,edit_low_cui_high_bio_concept_match
within_human,GSE100183,GSE69876,0.9534086583220042,24,144.0224054127385,"['C0007129', 'C0007600', 'C0017255', 'C0022827', 'C0598496', 'C0806909', 'C0919516', 'C0919551', 'C0935805', 'C0935806', 'C1420836', 'C1506708', 'C1511726', 'C1512140', 'C1546437', 'C1567299', 'C1879547', 'C2350567', 'C3245479', 'C3714741', 'C3831111', 'C4760036', 'C5206655', 'C5420281']",MYCL and EP400 are required for Max and MCPyV mediated gene activation,EP400 is required for Max and MCPyV mediated gene activation,MYCL and EP400 are required for Max and MCPyV mediated gene activation,EP400 is required for Max and MCPyV mediated gene activation,"To determine if MYCL or EP400 knockdown would affect Max target genes in Merkel cell carcinoma cell line MKL-1, we performed RNA-seq analyses of MKL-1 cells inducibly expressing shMYCL and two different EP400 shRNA -2, -3  and compared to ChIP-seq data using BETA analyses.","To determine if EP400 knockdown would affect Max target genes in Merkel cell carcinoma cell line MKL-1, we performed RNA-seq analyses of MKL-1 cells inducibly expressing EP400 shRNA and compared to ChIP-seq data using BETA analyses.","to determine if mycl or ep400 knockdown would affect max target genes in merkel cell carcinoma cell line mkl-1, we performed rna-seq analyses of mkl-1 cells inducibly expressing shmycl and two different ep400 shrna -2, -3 and compared to chip-seq data using beta analyses.","to determine if ep400 knockdown would affect max target genes in merkel cell carcinoma cell line mkl-1, we performed rna-seq analyses of mkl-1 cells inducibly expressing ep400 shrna and compared to chip-seq data using beta analyses.",False,False,29028833,29028833,['29028833'],True,['GSE69878'],['GSE69878'],"[""['GSE69878']""]",True,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA390939'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA287017'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP109645'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP059494'],[],False,True,Very High,mycl and ep400 are required for max and mcpyv mediated gene activation,ep400 is required for max and mcpyv mediated gene activation,"mycl and ep400 are required for max and mcpyv mediated gene activation to determine if mycl or ep400 knockdown would affect max target genes in merkel cell carcinoma cell line mkl-1, we performed rna-seq analyses of mkl-1 cells inducibly expressing shmycl and two different ep400 shrna -2, -3 and compared to chip-seq data using beta analyses.","ep400 is required for max and mcpyv mediated gene activation to determine if ep400 knockdown would affect max target genes in merkel cell carcinoma cell line mkl-1, we performed rna-seq analyses of mkl-1 cells inducibly expressing ep400 shrna and compared to chip-seq data using beta analyses.",0.8285714285714285,0.8529411764705882,0.8483965014577259,False,False,False,False,True,edit_low_cui_high_bio_concept_match
within_mouse,GSE93379,GSE93380,0.9364954803395568,114,598.9750239032827,"['C0001688', 'C0004083', 'C0005167', 'C0008972', 'C0017262', 'C0017263', 'C0020632', 'C0020633', 'C0023884', 'C0023899', 'C0025914', 'C0025929', 'C0026606', 'C0026809', 'C0032105', 'C0034107', 'C0037663', 'C0039484', 'C0039829', 'C0040649', 'C0085862', 'C0086582', 'C0162493', 'C0185117', 'C0205177', 'C0205217', 'C0205227', 'C0205263', 'C0205276', 'C0205549', 'C0232117', 'C0232187', 'C0232201', 'C0391850', 'C0392752', 'C0392762', 'C0439849', 'C0441655', 'C0442043', 'C0442805', 'C0443299', 'C0543419', 'C0557651', 'C0577559', 'C0587267', 'C0596306', 'C0699792', 'C0721399', 'C0726639', 'C0752248', 'C0796563', 'C0812327', 'C0814423', 'C0871269', 'C0872262', 'C0879626', 'C0924206', 'C0935456', 'C0947630', 'C1149454', 'C1160700', 'C1167088', 'C1280500', 'C1292732', 'C1332461', 'C1332762', 'C1333673', 'C1334089', 'C1335875', 'C1336596', 'C1336776', 'C1366394', 'C1413131', 'C1413894', 'C1417166', 'C1432900', 'C1449575', 'C1516514', 'C1517486', 'C1517914', 'C1519594', 'C1533729', 'C1546740', 'C1550012', 'C1609077', 'C1704735', 'C1704770', 'C1705050', 'C1705923', 'C1706180', 'C1706428', 'C1706429', 'C1709772', 'C1709846', 'C1710463', 'C1742862', 'C1825598', 'C1947910', 'C1947913', 'C2247261', 'C2362314', 'C2603343', 'C3539616', 'C3668946', 'C3712803', 'C3714500', 'C4037986', 'C4049986', 'C4082489', 'C4086963', 'C4277541', 'C4760607', 'C5235020', 'C5552813']",Gene expression profile (RNA-seq) of hypophysectomized male mouse liver treated with a single pulse of growth hormone (GH),Gene expression profiling of Male and Female adult mouse liver using RNA-seq,Gene expression profile (RNA-seq) of hypophysectomized male mouse liver treated with a single pulse of growth hormone (GH),Gene expression profiling of Male and Female adult mouse liver using RNA-seq,"We investigated the effects of a single pulse of growth hormone on the transcriptional activation of STAT5 target genes in hypophysectomized male mouse liver. This GEO series is part of a larger study, where we investigated the impact of a single pulse of GH given to hypophysectomized mice on local liver chromatin accessibility [DNase hypersensitive site analysis], transcription rates [hnRNA analysis], and gene expression [quantitative PCR and RNA-Seq] determined 30, 90 or 240 min later. The STAT5-dependent but sex-independent early GH response genes Igf1 and Cish showed rapid, GH pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. Rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (Ces2b, Ugt2b38) but not for other liver STAT5-dependent male-biased genes (Cyp7b1). Moreover, in pituitary-intact male mice, Igf1, Cish, Ces2b and Ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver STAT5 activity. Thus, the endogenous rhythms of male plasma GH pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of Igf1, Cish and a subset of STAT5-dependent male-biased genes.","RNA-seq analysis of intact male and female adult mouse liver. This GEO series is part of a larger study, where we investigated the impact of a single pulse of GH given to hypophysectomized mice on local liver chromatin accessibility [DNase hypersensitive site analysis], transcription rates [hnRNA analysis], and gene expression [quantitative PCR and RNA-Seq] determined 30, 90 or 240 min later. The STAT5-dependent but sex-independent early GH response genes Igf1 and Cish showed rapid, GH pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. Rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (Ces2b, Ugt2b38) but not for other liver STAT5-dependent male-biased genes (Cyp7b1). Moreover, in pituitary-intact male mice, Igf1, Cish, Ces2b and Ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver STAT5 activity. Thus, the endogenous rhythms of male plasma GH pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of Igf1, Cish and a subset of STAT5-dependent male-biased genes.","we investigated the effects of a single pulse of growth hormone on the transcriptional activation of stat5 target genes in hypophysectomized male mouse liver. this geo series is part of a larger study, where we investigated the impact of a single pulse of gh given to hypophysectomized mice on local liver chromatin accessibility [dnase hypersensitive site analysis], transcription rates [hnrna analysis], and gene expression [quantitative pcr and rna-seq] determined 30, 90 or 240 min later. the stat5-dependent but sex-independent early gh response genes igf1 and cish showed rapid, gh pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (ces2b, ugt2b38) but not for other liver stat5-dependent male-biased genes (cyp7b1). moreover, in pituitary-intact male mice, igf1, cish, ces2b and ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver stat5 activity. thus, the endogenous rhythms of male plasma gh pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of igf1, cish and a subset of stat5-dependent male-biased genes.","rna-seq analysis of intact male and female adult mouse liver. this geo series is part of a larger study, where we investigated the impact of a single pulse of gh given to hypophysectomized mice on local liver chromatin accessibility [dnase hypersensitive site analysis], transcription rates [hnrna analysis], and gene expression [quantitative pcr and rna-seq] determined 30, 90 or 240 min later. the stat5-dependent but sex-independent early gh response genes igf1 and cish showed rapid, gh pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (ces2b, ugt2b38) but not for other liver stat5-dependent male-biased genes (cyp7b1). moreover, in pituitary-intact male mice, igf1, cish, ces2b and ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver stat5 activity. thus, the endogenous rhythms of male plasma gh pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of igf1, cish and a subset of stat5-dependent male-biased genes.",False,False,28323953,28323953,['28323953'],True,['GSE93382'],['GSE93382'],"[""['GSE93382']""]",True,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA360841'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA360840'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP096363'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP096364'],[],False,True,Very High,gene expression profile (rna-seq) of hypophysectomized male mouse liver treated with a single pulse of growth hormone (gh),gene expression profiling of male and female adult mouse liver using rna-seq,"gene expression profile (rna-seq) of hypophysectomized male mouse liver treated with a single pulse of growth hormone (gh) we investigated the effects of a single pulse of growth hormone on the transcriptional activation of stat5 target genes in hypophysectomized male mouse liver. this geo series is part of a larger study, where we investigated the impact of a single pulse of gh given to hypophysectomized mice on local liver chromatin accessibility [dnase hypersensitive site analysis], transcription rates [hnrna analysis], and gene expression [quantitative pcr and rna-seq] determined 30, 90 or 240 min later. the stat5-dependent but sex-independent early gh response genes igf1 and cish showed rapid, gh pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (ces2b, ugt2b38) but not for other liver stat5-dependent male-biased genes (cyp7b1). moreover, in pituitary-intact male mice, igf1, cish, ces2b and ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver stat5 activity. thus, the endogenous rhythms of male plasma gh pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of igf1, cish and a subset of stat5-dependent male-biased genes.","gene expression profiling of male and female adult mouse liver using rna-seq rna-seq analysis of intact male and female adult mouse liver. this geo series is part of a larger study, where we investigated the impact of a single pulse of gh given to hypophysectomized mice on local liver chromatin accessibility [dnase hypersensitive site analysis], transcription rates [hnrna analysis], and gene expression [quantitative pcr and rna-seq] determined 30, 90 or 240 min later. the stat5-dependent but sex-independent early gh response genes igf1 and cish showed rapid, gh pulse-induced increases in chromatin accessibility and gene transcription, reversing the effects of hypophysectomy. rapid increases in liver chromatin accessibility and transcriptional activity were also induced in hypophysectomized male mice for some (ces2b, ugt2b38) but not for other liver stat5-dependent male-biased genes (cyp7b1). moreover, in pituitary-intact male mice, igf1, cish, ces2b and ugt2b38 all showed remarkable cycles of chromatin opening and closing, and associated cycles of induced gene transcription, which closely followed each endogenous pulse of liver stat5 activity. thus, the endogenous rhythms of male plasma gh pulsation dynamically open and then close liver chromatin at discrete, localized regulatory sites in temporal association with transcriptional activation of igf1, cish and a subset of stat5-dependent male-biased genes.",0.4098360655737705,0.9184519695922598,0.8796178343949045,False,False,False,False,True,edit_low_cui_high_bio_concept_match
within_mouse,GSE64099,GSE65747,0.9311812297008352,46,204.0053604458137,"['C0004340', 'C0004793', 'C0008630', 'C0008972', 'C0017272', 'C0017337', 'C0023621', 'C0023622', 'C0023625', 'C0023693', 'C0023700', 'C0025914', 'C0025929', 'C0026809', 'C0034754', 'C0035668', 'C0079429', 'C0162326', 'C0162327', 'C0238711', 'C0557651', 'C0598009', 'C0752248', 'C0872147', 'C0947630', 'C1158770', 'C1331371', 'C1417679', 'C1455722', 'C1519249', 'C1539789', 'C1705923', 'C2603343', 'C3853789', 'C3858752', 'C4331422', 'C4527431', 'C4688351', 'C4743987', 'C5205215', 'C5205297', 'C5235881', 'C5447528', 'C5447905', 'C5555096', 'C5690740']",Transcriptome profiling for genes transcriptionally regulated by Smchd1 in lymphoma cell lines.,Genome-wide binding and mechanistic analyses of Smchd1 mediated epigenetic regulation [RNA-Seq],Transcriptome profiling for genes transcriptionally regulated by Smchd1 in lymphoma cell lines.,Genome-wide binding and mechanistic analyses of Smchd1 mediated epigenetic regulation [RNA-Seq],"Purpose: The aim of this study is to identify genes that are under the transcriptional control of the epigenetic modifier Smchd1 in mouse lymphoma cell lines.Methods: Total RNA was extracted using QIAGEN RNeasy Minikit from sorted lymphoma cell lines derived from mice either wild-type or null for Smchd1. 1Âµg total RNA was used to generate sequencing libraries for whole transcriptome analysis with Illuminaâs TruSeq RNA Sample Preparation Kit v2 as per standard protocols. Libraries were sequenced on HiSeq 2000 with Illumina TruSeq SBS Kit v3-HS reagents as either 100 bp single-end or paired-end reads at the Australian Genome Research Facility (AGRF), Melbourne. Reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the Rsubread package (version 1.10.5) (Liao et al. 2013). Mapped reads were then summarized into gene-level counts using FeatureCounts (Liao et al. 2014).","Purpose: The aim of this study is to identify genes that are under the transcriptional control of the epigenetic regulator Smchd1 in neural stem cells (NSCs) derived from E14.5 mouse brainMethods: Total RNA was extracted using an AllPrep DNA/RNA Mini Kit (Qiagen) from cultured neural stem cells derived from male mouse E14.5 brains either wild-type or null for Smchd1. 1 Âµg total RNA was used to generate sequencing libraries for whole transcriptome analysis with Illuminaâs TruSeq RNA Sample Preparation Kit v2 as per standard protocols. Libraries were sequenced on HiSeq 2000 with Illumina TruSeq SBS Kit v3-HS reagents as either 100 bp single-end or paired-end reads at the Australian Genome Research Facility (AGRF), Melbourne. Reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the Rsubread package (version 1.10.5) (Liao et al. 2013). Mapped reads were then summarized into gene-level counts using FeatureCounts (Liao et al. 2014).","purpose: the aim of this study is to identify genes that are under the transcriptional control of the epigenetic modifier smchd1 in mouse lymphoma cell lines.methods: total rna was extracted using qiagen rneasy minikit from sorted lymphoma cell lines derived from mice either wild-type or null for smchd1. 1âµg total rna was used to generate sequencing libraries for whole transcriptome analysis with illuminaâs truseq rna sample preparation kit v2 as per standard protocols. libraries were sequenced on hiseq 2000 with illumina truseq sbs kit v3-hs reagents as either 100 bp single-end or paired-end reads at the australian genome research facility (agrf), melbourne. reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the rsubread package (version 1.10.5) (liao et al. 2013). mapped reads were then summarized into gene-level counts using featurecounts (liao et al. 2014).","purpose: the aim of this study is to identify genes that are under the transcriptional control of the epigenetic regulator smchd1 in neural stem cells (nscs) derived from e14.5 mouse brainmethods: total rna was extracted using an allprep dna/rna mini kit (qiagen) from cultured neural stem cells derived from male mouse e14.5 brains either wild-type or null for smchd1. 1 âµg total rna was used to generate sequencing libraries for whole transcriptome analysis with illuminaâs truseq rna sample preparation kit v2 as per standard protocols. libraries were sequenced on hiseq 2000 with illumina truseq sbs kit v3-hs reagents as either 100 bp single-end or paired-end reads at the australian genome research facility (agrf), melbourne. reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the rsubread package (version 1.10.5) (liao et al. 2013). mapped reads were then summarized into gene-level counts using featurecounts (liao et al. 2014).",False,False,25925576; 26981392,26091879; 26981392,['26981392'],True,,['GSE65749'],[],False,,,[],False,,,[],False,['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA270115'],['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA274903'],[],False,['https://www.ncbi.nlm.nih.gov/sra?term=SRP051084'],['https://www.ncbi.nlm.nih.gov/sra?term=SRP053351'],[],False,True,High,transcriptome profiling for genes transcriptionally regulated by smchd1 in lymphoma cell lines.,genome-wide binding and mechanistic analyses of smchd1 mediated epigenetic regulation [rna-seq],"transcriptome profiling for genes transcriptionally regulated by smchd1 in lymphoma cell lines. purpose: the aim of this study is to identify genes that are under the transcriptional control of the epigenetic modifier smchd1 in mouse lymphoma cell lines.methods: total rna was extracted using qiagen rneasy minikit from sorted lymphoma cell lines derived from mice either wild-type or null for smchd1. 1âµg total rna was used to generate sequencing libraries for whole transcriptome analysis with illuminaâs truseq rna sample preparation kit v2 as per standard protocols. libraries were sequenced on hiseq 2000 with illumina truseq sbs kit v3-hs reagents as either 100 bp single-end or paired-end reads at the australian genome research facility (agrf), melbourne. reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the rsubread package (version 1.10.5) (liao et al. 2013). mapped reads were then summarized into gene-level counts using featurecounts (liao et al. 2014).","genome-wide binding and mechanistic analyses of smchd1 mediated epigenetic regulation [rna-seq] purpose: the aim of this study is to identify genes that are under the transcriptional control of the epigenetic regulator smchd1 in neural stem cells (nscs) derived from e14.5 mouse brainmethods: total rna was extracted using an allprep dna/rna mini kit (qiagen) from cultured neural stem cells derived from male mouse e14.5 brains either wild-type or null for smchd1. 1 âµg total rna was used to generate sequencing libraries for whole transcriptome analysis with illuminaâs truseq rna sample preparation kit v2 as per standard protocols. libraries were sequenced on hiseq 2000 with illumina truseq sbs kit v3-hs reagents as either 100 bp single-end or paired-end reads at the australian genome research facility (agrf), melbourne. reads were aligned to the mouse reference genome mm10 and mapped to known genomic features at the gene level using the rsubread package (version 1.10.5) (liao et al. 2013). mapped reads were then summarized into gene-level counts using featurecounts (liao et al. 2014).",0.17894736842105263,0.8805970149253731,0.8201634877384196,False,False,False,False,True,edit_low_cui_high_bio_concept_match
