comparison,gse_1,gse_2,tfidf_cosine,shared_cui_count,shared_idf_sum,shared_cuis,title_1,title_2
human_mouse,GSE70833,GSE79124,0.31635722002763,3,18.016667245058873,"['C1416746', 'C1862225', 'C4284124']",HCT116 MYC 3' TBE1 (WT) and KO RNA-Seq,MOG KO Tregs versus WT Tregs
human_mouse,GSE84359,GSE92629,0.3161527228058802,9,33.344154445815356,"['C0008972', 'C0018017', 'C0557651', 'C0947630', 'C1546459', 'C1705923', 'C2603343', 'C2930505', 'C2979882']",RNA-seq of primary patient AML samples,Next Generation Sequencing Facilitates Quantitative Analysis of Piscor (control) and Nap1l1-shRNA expressed neural stem cell Transcriptomes
human_mouse,GSE62526,GSE72369,0.3160115542413811,6,19.284017071516008,"['C0752248', 'C1327760', 'C1449575', 'C1513400', 'C4086963', 'C5552813']",Gene expression profiling of melanoma cell lines by high throughput sequencing,Gene expression profiling of control cohesin knockdown LSK cells
human_mouse,GSE59251,GSE95141,0.3159409934116441,5,14.847120085031484,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",RNA-sequencing experiment: Treatment of MCF-7 breast cancer cells with the novel small molecule ZNA,RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice
human_mouse,GSE51984,GSE48109,0.3158611382006843,5,19.5032370914291,"['C0001675', 'C0683572', 'C0751606', 'C1706450', 'C4323874']",RNA-Seq analysis of human adult peripheral blood populations,RNA-seq analysis of gene expression in male and female mouse liver
human_mouse,GSE84023,GSE51372,0.3158137090650409,10,46.7207194556313,"['C0007600', 'C0022827', 'C0030297', 'C0162327', 'C0235974', 'C0346647', 'C0346976', 'C1512140', 'C4086963', 'C4520964']",RNA sequencing of patient derived cell lines in pancreatic cancer,Single Cell RNA-sequencing of Pancreatic Circulating Tumor Cells
human_mouse,GSE94036,GSE70706,0.3157584814341309,10,47.89945315497629,"['C0033137', 'C0205225', 'C0439227', 'C0439612', 'C0564385', 'C1335497', 'C1522326', 'C1547059', 'C5452934', 'C5679898']",Progesterone Receptor- and FOXO1-dependent transcriptomes decidualized human endometrial stromal cells,Analysis of MOF under stress conditions
human_mouse,GSE99028,GSE67291,0.315724408924117,9,33.58296726423009,"['C0009932', 'C0243148', 'C0308718', 'C0728976', 'C0752248', 'C1327760', 'C1449575', 'C1513400', 'C1547100']",Expression profiling of etoposide-induced senescent cells,H3K4me2 and gene expression profiling in control and KMT2D KD murine B220 cells
human_mouse,GSE121425,GSE74111,0.3157170180877131,12,42.602469449607696,"['C0543419', 'C1280500', 'C1301751', 'C1368999', 'C1883559', 'C2348382', 'C4086963', 'C4331207', 'C4527431', 'C4760607', 'C5444688', 'C5555096']",LSD1 pharmacological inhibition in SET-2 containing wild type and mutant LSD1 [RNA-Seq],Transcriptome analysis of mouse embryonic stem cells upon PARP-1 knockout.
human_mouse,GSE93263,GSE97764,0.3157105501935559,10,52.34705353113287,"['C0037088', 'C0243095', 'C0949649', 'C1160333', 'C1656976', 'C1817112', 'C2607943', 'C2752762', 'C2825141', 'C2926606']",Incomplete MyoD-induced transdifferentiation is mediated by chromatin remodeling deficiencies [RNA-Seq],The microprotein Minion controls cell fusion and muscle formation
