ID,mondo_id,prob,log2(prob/prior),related_words,top1_score,top2_score,top_gap,species
GSE100035,MONDO_0021178,0.0032000182703755,0.423102291182685,injury,0.423102291182685,0.3823769469514102,0.040725344231274774,mouse
GSE100039,MONDO_0000314,0.0096420172574582,0.1089225630147723,months,0.1089225630147723,0.0492213338102536,0.059701229204518695,mouse
GSE100067,MONDO_0021166,0.1212567145213909,0.7793396109991928,"active,autoimmune,barrier,blood,inflammatory,macrophages,response,signature,tnf,weeks",0.7793396109991928,0.6081024373314662,0.17123717366772662,mouse
GSE100070,MONDO_0001627,0.2131764755814391,2.51082373628068,"ad,alzheimers,dementia,disease,diseases,memory,synaptic",2.51082373628068,2.294786557704265,0.21603717857641458,mouse
GSE100098,MONDO_0019052,0.0179069171427321,0.17144944622677,"cells,deficiency,derived,fibroblasts,induced,mouse,wildtype",0.17144944622677,0.165441759253056,0.00600768697371401,mouse
GSE100102,MONDO_0020753,0.0038822661621371,0.1839007049621304,senescence,0.1839007049621304,0.1838592307301606,4.1474231969790276e-05,mouse
GSE100106,MONDO_0005718,0.0040139759915454,0.2320336622457424,scrna,0.2320336622457424,0.2317468833416865,0.000286778904055901,mouse
GSE100175,MONDO_0000314,0.0220554998759094,1.3026541047029196,tg,1.3026541047029196,1.1637675120247346,0.13888659267818504,mouse
GSE100212,MONDO_0005093,0.0809826993859829,1.6292582763591947,"biopsies,cutaneous,disease,genes,patients,skin,systemic",1.6292582763591947,1.585839967543158,0.0434183088160367,mouse
GSE100217,MONDO_0021698,0.013571256160345,1.9914549279559648,"alcohol,brain,brains,disorder",1.9914549279559648,1.9593210867451687,0.0321338412107961,mouse
GSE100222,MONDO_0021181,0.0006811570968843,0.0008938698145071,,0.0008938698145071,-0.0009975853805948,0.0018914551951019001,mouse
GSE100225,MONDO_0002039,0.0674946089844888,0.173628725188446,"cognitive,effects,hippocampus,integrative,synaptic",0.173628725188446,0.1461151639508657,0.02751356123758028,mouse
GSE100244,MONDO_0002254,0.1278328749039914,1.3760475920441195,"changes,controls,syndrome",1.3760475920441195,0.77009377111488,0.6059538209292396,mouse
GSE100265,MONDO_0002025,0.1645105388401478,0.5771147615924476,"associated,brain,brains,data,disorders,human,mouse,neuropsychiatric,phenotype,regions,synaptic",0.5771147615924476,0.5535265495652251,0.0235882120272225,mouse
GSE100276,MONDO_0005575,0.4752179976490971,3.5008860696372697,"cancer,cells,cellular,colonic,colorectal,crc,dna,stage",3.5008860696372697,3.496372903387014,0.004513166250255551,mouse
GSE100277,MONDO_0021682,0.0125632130654625,0.1007182564426193,"cd4,cells",0.1007182564426193,0.1006771179239515,4.113851866779927e-05,mouse
GSE100278,MONDO_0011996,0.0179070137444811,0.1319276859456408,"cells,rna,rnas",0.1319276859456408,0.0281750890408723,0.10375259690476851,mouse
GSE100332,MONDO_0021682,0.0163465025181118,0.480494764145201,"cd4,cells",0.480494764145201,0.4804012275846035,9.353656059746251e-05,mouse
GSE100356,MONDO_0005084,0.1066447391143651,0.7703634040117007,"derived,rhythmogenic,interneurons,neurons,transcriptome",0.7703634040117007,0.7503612945366327,0.020002109475067975,mouse
GSE100385,MONDO_0005570,0.2503665081678069,0.7281992616553385,"activation,cell,cells,critical,essential,factor,hematopoietic,hsc,leukemia,leukemogenesis,novel,targeting,transcription",0.7281992616553385,0.6783194309301841,0.04987983072515445,mouse
GSE100389,MONDO_0019755,0.029239750161987,0.3710532222020911,"neural,stem",0.3710532222020911,0.2823604050994109,0.08869281710268018,mouse
GSE100397,MONDO_0004980,0.0053393551987242,0.644652985709029,"atopic,dermatitis,skin",0.644652985709029,0.6446130519753723,3.9933733656627446e-05,mouse
GSE100406,MONDO_0005172,0.0966411075239307,0.1738118269669715,"binding,chromatin,conserved,domain,individual,proteins,rnaseq,transcriptional",0.1738118269669715,0.1605488274265999,0.013262999540371606,mouse
GSE100411,MONDO_0021678,0.0031960411923936,0.054797625912329,"response,set",0.054797625912329,0.0008938698145071,0.0539037560978219,mouse
GSE100425,MONDO_0005244,0.0061429053226981,0.1668644592793948,stem,0.1668644592793948,0.1571529880275472,0.009711471251847598,mouse
GSE100426,MONDO_0005244,0.0061250120281676,0.1626559885420236,stem,0.1626559885420236,0.152682784871376,0.009973203670647607,mouse
GSE100457,MONDO_0015653,0.0053863460642179,0.3913006011128256,temporal,0.3913006011128256,0.3291352010822918,0.062165400030533835,mouse
GSE100464,MONDO_0021042,0.1368962986211432,1.6122820346290625,"adult,atrx,cells,epigenomic,glioma,histone,pediatric,primary,promotes,tp53",1.6122820346290625,1.522497775742626,0.0897842588864366,mouse
GSE100473,MONDO_0005020,0.1702348957215031,1.4362406496246465,"colon,ileum,inflammation,intestinal,oglcnac,performed,serine",1.4362406496246465,0.9032360370996088,0.5330046125250377,mouse
GSE100532,MONDO_0005267,0.1979667994201596,2.9999155377313715,"failing,failure,heart,hearts,infarction,ischemic,myocardial,myocardium,regeneration,sequencing",2.9999155377313715,2.7829084023377777,0.21700713539359384,mouse
GSE100560,MONDO_0005570,0.3273409604021864,1.1149518166600392,"activated,bone,cell,cells,hundreds,marrow,purity",1.1149518166600392,1.062949098825485,0.052002717834554124,mouse
GSE100570,MONDO_0000462,0.0068105243416366,0.1447970521696492,imos,0.1447970521696492,0.0895269735303291,0.0552700786393201,mouse
GSE100597,MONDO_0011996,0.0172183616726083,0.0753507957955393,"cell,rnaseq",0.0753507957955393,0.0245159228738811,0.0508348729216582,mouse
