ID,mondo_id,prob,log2(prob/prior),related_words,top1_score,top2_score,top_gap,species
GSE100027,MONDO_0004989,0.0539343341571802,0.9255867597611878,"breast,cancer,cycle",0.9255867597611878,0.8199840087186397,0.10560275104254802,human
GSE100040,MONDO_0002271,0.0035507212023149,0.004945457184465,ii,0.004945457184465,0.0008938698145071,0.0040515873699579,human
GSE100075,MONDO_0021100,0.2433575885286559,1.8165099624187349,"breast,cancer,endocrine,estrogen,fulvestrant,lines,mcf7,receptor",1.8165099624187349,1.8161765840449875,0.0003333783737473617,human
GSE100081,MONDO_0004995,0.1765350311624734,1.874995860196637,"aortic,artery,coronary,disease,muscle,vascular",1.874995860196637,1.6072104674193146,0.2677853927773224,human
GSE100092,MONDO_0024882,0.0102740259581215,0.7379608954692275,"cancer,metastasis",0.7379608954692275,0.7379263100329287,3.458543629875077e-05,human
GSE100099,MONDO_0024331,0.0308483304944241,0.6155422430819788,"p53,rnaseq",0.6155422430819788,0.3402520171099488,0.27529022597203,human
GSE100118,MONDO_0019755,0.0245362706328733,0.1180382225186799,"development,embryonic,human,pluripotency,pluripotent,stem",0.1180382225186799,0.0957628167039501,0.02227540581472981,human
GSE100183,MONDO_0006181,0.0831292532790406,0.2519237494499838,"carcinoma,cell,cells,genes,knockdown,performed,rnaseq",0.2519237494499838,0.2421857648666831,0.00973798458330069,human
GSE100206,MONDO_0011996,0.0203740801428553,0.3181378444264541,"cells,rna,rnas,rnaseq",0.3181378444264541,0.148157246581713,0.1699805978447411,human
GSE100210,MONDO_0005147,0.0052619832555568,0.2416292976587378,adar1,0.2416292976587378,0.230022060127933,0.01160723753080481,human
GSE100223,MONDO_0003620,0.0173457875374359,0.4446046449064024,"cells,malignant,pluripotent,teratomas,stem,tumors",0.4446046449064024,0.3605364620692091,0.0840681828371933,human
GSE100258,MONDO_0011996,0.0206730990038045,0.3391575913640863,"cell,rna,rnaseq",0.3391575913640863,0.0252334531908788,0.3139241381732075,human
GSE100266,MONDO_0021682,0.0580635117312343,2.3091446030845337,"cells,hiv1,infected,latency",2.3091446030845337,2.3090545842195667,9.001886496706746e-05,human
GSE100268,MONDO_0005178,0.0043208400438147,0.3402843935444171,"cartilage,osteoarthritis",0.3402843935444171,0.0625615215228621,0.277722872021555,human
GSE100291,MONDO_0005072,0.0894210565415611,1.3297140531337377,"cells,development,foxp2,neuroblastoma,primate,shsy5y",1.3297140531337377,1.3287383020143315,0.0009757511194061763,human
GSE100327,MONDO_0021223,0.1416083897525691,0.3121346057658293,"cancer,cell,expression,identify,lines,rnasequencing",0.3121346057658293,0.3083799182860134,0.003754687479815888,human
GSE100338,MONDO_0006975,0.0069858571071614,0.3523804445902712,"leiomyoma,myometrium",0.3523804445902712,0.3522533946323115,0.00012704995795970175,human
GSE100359,MONDO_0003620,0.0132017963446304,0.0507535490768989,"cells,integrated",0.0507535490768989,0.0387257648338193,0.012027784243079598,human
GSE100382,MONDO_0021166,0.0956974053376438,0.4378266873556924,"antiviral,diseases,ifn,inflammatory,macrophages,tnf",0.4378266873556924,0.3091074704040271,0.12871921695166533,human
GSE100392,MONDO_0015075,0.0767355680657774,3.714387966045237,"papillary,ptc,thyroid",3.714387966045237,3.602354531711822,0.11203343433341484,human
GSE100408,MONDO_0005008,0.0186765829039149,0.0821421848758291,"cancer,cells,expression,inhibitor,ml792,sae,tumors",0.0821421848758291,0.0567160559420102,0.025426128933818896,human
GSE100417,MONDO_0021181,0.0006811570968843,0.0008938698145071,,0.0008938698145071,-0.0009975853805948,0.0018914551951019001,human
GSE100427,MONDO_0005148,0.0086496841566027,0.4087106598929264,type,0.4087106598929264,0.4035428609704312,0.005167798922495193,human
GSE100501,MONDO_0005148,0.0068697982695613,0.0763309413961458,type,0.0763309413961458,0.0508696518000633,0.025461289596082494,human
GSE100520,MONDO_0011996,0.019964211485062,0.2888190107898224,"rna,rnasel,translation",0.2888190107898224,0.0008938698145071,0.2879251409753153,human
GSE100530,MONDO_0015756,0.0921036012678524,0.8176931238172296,"malignancies,mutations,rna,splicing",0.8176931238172296,0.7925840222806754,0.025109101536554213,human
