threshold,n_human,n_mouse,n_matched,matched_mean_tree_distance,random_mean_tree_distance,matched_mean_lca_depth,random_mean_lca_depth
1.0,554,197,4161,-0.0038452295121365054,4.763758711848113,3.203797164143235,0.36481614996395095
1.5,481,159,3584,-0.0033482142857142855,4.708426339285714,3.312779017857143,0.4037388392857143
2.0,414,137,2781,-0.004314994606256742,4.866954332973751,3.6044588277597986,0.4084861560589716
