pair_type,n,mean_tree_distance,median_tree_distance,mean_lca_depth
matched,4161,-0.0038452295121365054,0.0,3.203797164143235
random,4161,4.763758711848113,5.0,0.36481614996395095
branch,554,4.155234657039712,4.0,0.6010830324909747
