ID,child,parent,parent_hit
GSE32726,MONDO_0000402,MONDO_0002120,True
GSE88943,MONDO_0000402,MONDO_0002120,True
GSE94518,MONDO_0000402,MONDO_0002120,True
GSE104854,MONDO_0000402,MONDO_0002120,True
GSE83888,MONDO_0000402,MONDO_0002120,True
GSE83501,MONDO_0000402,MONDO_0002120,False
GSE64513,MONDO_0000402,MONDO_0002120,False
GSE36597,MONDO_0000402,MONDO_0002120,False
GSE87087,MONDO_0000548,MONDO_0018364,True
GSE62093,MONDO_0000548,MONDO_0018364,True
GSE79572,MONDO_0000548,MONDO_0018364,True
GSE97388,MONDO_0000548,MONDO_0018364,True
GSE101972,MONDO_0000548,MONDO_0018364,True
GSE71340,MONDO_0000548,MONDO_0018364,True
GSE70073,MONDO_0000548,MONDO_0018364,True
GSE85579,MONDO_0000616,MONDO_0006116,True
GSE58135,MONDO_0000616,MONDO_0006116,True
GSE52194,MONDO_0000616,MONDO_0006116,True
GSE94493,MONDO_0000616,MONDO_0006116,True
GSE48213,MONDO_0000616,MONDO_0006116,True
GSE99060,MONDO_0000616,MONDO_0006116,True
GSE95304,MONDO_0000616,MONDO_0006116,True
GSE75130,MONDO_0000616,MONDO_0006116,True
GSE47462,MONDO_0000616,MONDO_0006116,True
GSE75688,MONDO_0000616,MONDO_0006116,True
GSE73527,MONDO_0000616,MONDO_0006116,True
GSE78011,MONDO_0000616,MONDO_0006116,True
GSE93057,MONDO_0000616,MONDO_0006116,True
GSE74417,MONDO_0000616,MONDO_0006116,True
GSE89225,MONDO_0000616,MONDO_0006116,True
GSE63582,MONDO_0000616,MONDO_0006116,True
GSE76433,MONDO_0000616,MONDO_0006116,True
GSE53532,MONDO_0000616,MONDO_0006116,True
GSE78918,MONDO_0000616,MONDO_0006116,True
GSE40049,MONDO_0000616,MONDO_0006116,True
GSE68358,MONDO_0000616,MONDO_0006116,True
GSE52643,MONDO_0000616,MONDO_0006116,True
GSE71960,MONDO_0000616,MONDO_0006116,True
GSE78285,MONDO_0000616,MONDO_0006116,True
GSE81162,MONDO_0000616,MONDO_0006116,True
GSE33776,MONDO_0000616,MONDO_0006116,True
GSE96860,MONDO_0000616,MONDO_0006116,True
GSE90519,MONDO_0000616,MONDO_0006116,True
GSE80297,MONDO_0000616,MONDO_0006116,True
GSE95293,MONDO_0000616,MONDO_0006116,True
GSE42948,MONDO_0000616,MONDO_0006116,True
GSE59810,MONDO_0000616,MONDO_0006116,True
GSE125802,MONDO_0000616,MONDO_0006116,True
GSE72524,MONDO_0000616,MONDO_0006116,True
GSE58708,MONDO_0000616,MONDO_0006116,True
GSE76453,MONDO_0000616,MONDO_0006116,True
GSE78527,MONDO_0000616,MONDO_0006116,True
GSE44052,MONDO_0000616,MONDO_0006116,True
GSE73526,MONDO_0000616,MONDO_0006116,True
GSE95375,MONDO_0000616,MONDO_0006116,True
GSE61727,MONDO_0000616,MONDO_0006116,True
GSE68815,MONDO_0000616,MONDO_0006116,True
GSE64367,MONDO_0000616,MONDO_0006116,True
GSE64590,MONDO_0000616,MONDO_0006116,True
GSE56022,MONDO_0000616,MONDO_0006116,True
GSE85557,MONDO_0000616,MONDO_0006116,False
GSE100925,MONDO_0000616,MONDO_0006116,True
GSE70404,MONDO_0000616,MONDO_0006116,True
GSE37918,MONDO_0000616,MONDO_0006116,True
GSE51827,MONDO_0000616,MONDO_0006116,True
GSE29119,MONDO_0000616,MONDO_0006116,True
GSE99596,MONDO_0000616,MONDO_0006116,True
GSE43726,MONDO_0000616,MONDO_0006116,True
GSE103850,MONDO_0000616,MONDO_0006116,True
GSE56882,MONDO_0000616,MONDO_0006116,True
GSE92910,MONDO_0000616,MONDO_0006116,True
GSE77179,MONDO_0000616,MONDO_0006116,True
GSE84577,MONDO_0000616,MONDO_0006116,True
GSE45732,MONDO_0000616,MONDO_0006116,True
GSE80722,MONDO_0000616,MONDO_0006116,True
GSE92943,MONDO_0000616,MONDO_0006116,True
GSE74718,MONDO_0000616,MONDO_0006116,True
GSE107762,MONDO_0000616,MONDO_0006116,True
GSE73370,MONDO_0000616,MONDO_0006116,True
GSE73857,MONDO_0000616,MONDO_0006116,True
GSE78167,MONDO_0000616,MONDO_0006116,True
GSE74981,MONDO_0000616,MONDO_0006116,True
GSE59531,MONDO_0000616,MONDO_0006116,True
GSE75168,MONDO_0000616,MONDO_0006116,True
GSE84054,MONDO_0000616,MONDO_0006116,True
GSE45202,MONDO_0000616,MONDO_0006116,True
GSE75741,MONDO_0000616,MONDO_0006116,True
GSE55807,MONDO_0000616,MONDO_0006116,True
GSE75742,MONDO_0000616,MONDO_0006116,True
GSE95299,MONDO_0000616,MONDO_0006116,True
GSE87517,MONDO_0000616,MONDO_0006116,True
GSE58379,MONDO_0000616,MONDO_0006116,True
GSE74031,MONDO_0000616,MONDO_0006116,True
GSE80333,MONDO_0000616,MONDO_0006116,True
GSE53300,MONDO_0000616,MONDO_0006116,True
GSE114725,MONDO_0000616,MONDO_0006116,True
GSE67295,MONDO_0000616,MONDO_0006116,True
GSE57914,MONDO_0000616,MONDO_0006116,True
GSE40591,MONDO_0000616,MONDO_0006116,True
GSE63721,MONDO_0000616,MONDO_0006116,True
GSE93562,MONDO_0000616,MONDO_0006116,True
GSE80098,MONDO_0000616,MONDO_0006116,True
GSE99479,MONDO_0000616,MONDO_0006116,True
GSE45419,MONDO_0000616,MONDO_0006116,True
GSE55005,MONDO_0000616,MONDO_0006116,True
GSE83277,MONDO_0000616,MONDO_0006116,True
GSE71012,MONDO_0000616,MONDO_0006116,True
GSE99626,MONDO_0000616,MONDO_0006116,True
GSE60182,MONDO_0000616,MONDO_0006116,True
GSE93636,MONDO_0000616,MONDO_0006116,True
GSE69125,MONDO_0000616,MONDO_0006116,True
GSE81620,MONDO_0000616,MONDO_0006116,True
GSE69114,MONDO_0000616,MONDO_0006116,True
GSE103001,MONDO_0000616,MONDO_0006116,True
GSE79586,MONDO_0000616,MONDO_0006116,True
GSE38790,MONDO_0000616,MONDO_0006116,True
GSE62966,MONDO_0000616,MONDO_0006116,True
GSE68228,MONDO_0000616,MONDO_0006116,True
GSE87169,MONDO_0000616,MONDO_0006116,True
GSE75664,MONDO_0000616,MONDO_0006116,True
GSE22917,MONDO_0000616,MONDO_0006116,True
GSE58135,MONDO_0000618,MONDO_0006116,True
GSE85579,MONDO_0000618,MONDO_0006116,True
GSE52194,MONDO_0000618,MONDO_0006116,True
GSE94493,MONDO_0000618,MONDO_0006116,True
GSE48213,MONDO_0000618,MONDO_0006116,True
GSE99060,MONDO_0000618,MONDO_0006116,True
GSE95304,MONDO_0000618,MONDO_0006116,True
GSE93057,MONDO_0000618,MONDO_0006116,True
GSE74417,MONDO_0000618,MONDO_0006116,True
GSE89225,MONDO_0000618,MONDO_0006116,True
GSE47462,MONDO_0000618,MONDO_0006116,True
GSE78011,MONDO_0000618,MONDO_0006116,True
GSE75688,MONDO_0000618,MONDO_0006116,True
GSE73527,MONDO_0000618,MONDO_0006116,True
GSE52643,MONDO_0000618,MONDO_0006116,True
GSE76433,MONDO_0000618,MONDO_0006116,True
GSE75130,MONDO_0000618,MONDO_0006116,True
GSE40049,MONDO_0000618,MONDO_0006116,True
GSE80297,MONDO_0000618,MONDO_0006116,True
GSE96860,MONDO_0000618,MONDO_0006116,True
GSE33776,MONDO_0000618,MONDO_0006116,True
GSE95293,MONDO_0000618,MONDO_0006116,True
GSE42948,MONDO_0000618,MONDO_0006116,True
GSE63582,MONDO_0000618,MONDO_0006116,True
GSE72524,MONDO_0000618,MONDO_0006116,True
GSE58708,MONDO_0000618,MONDO_0006116,True
GSE44052,MONDO_0000618,MONDO_0006116,True
GSE78527,MONDO_0000618,MONDO_0006116,True
GSE76453,MONDO_0000618,MONDO_0006116,True
GSE78918,MONDO_0000618,MONDO_0006116,True
GSE73526,MONDO_0000618,MONDO_0006116,True
GSE125802,MONDO_0000618,MONDO_0006116,True
GSE100925,MONDO_0000618,MONDO_0006116,True
GSE71960,MONDO_0000618,MONDO_0006116,True
GSE61727,MONDO_0000618,MONDO_0006116,True
GSE64367,MONDO_0000618,MONDO_0006116,True
GSE68815,MONDO_0000618,MONDO_0006116,True
GSE90519,MONDO_0000618,MONDO_0006116,True
GSE59810,MONDO_0000618,MONDO_0006116,True
GSE51827,MONDO_0000618,MONDO_0006116,True
GSE80722,MONDO_0000618,MONDO_0006116,True
GSE70404,MONDO_0000618,MONDO_0006116,True
GSE37918,MONDO_0000618,MONDO_0006116,True
GSE29119,MONDO_0000618,MONDO_0006116,True
