ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE40665,GSE86111,MONDO_0006512,MONDO_0021063,1.0505336539934649,1.592247885206758,4,4,branch
GSE41074,GSE76033,MONDO_0007256,MONDO_0005061,2.8085067623906315,3.425567720763131,3,3,branch
GSE41245,GSE74762,MONDO_0007254,MONDO_0005096,2.569329005244993,1.9436286254909567,2,2,branch
GSE42146,GSE90070,MONDO_0004643,MONDO_0006513,3.908093922629937,1.2957035936384065,4,4,branch
GSE42948,GSE53782,MONDO_0004989,MONDO_0001056,4.392208757833066,2.581246722821819,2,2,branch
GSE43296,GSE94082,MONDO_0007254,MONDO_0002367,1.4834665027945877,1.189485138917408,2,2,branch
GSE43306,GSE95478,MONDO_0006256,MONDO_0005192,1.849442221861909,2.8139623635405613,3,3,branch
GSE43726,GSE76498,MONDO_0004989,MONDO_0009831,3.8976242496072095,4.333921116063412,2,2,branch
GSE43785,GSE94583,MONDO_0008315,MONDO_0007256,4.824654432696539,4.9417259931317385,3,3,branch
GSE43835,GSE57043,MONDO_0004989,MONDO_0005138,2.1093252712171524,1.601910341874819,2,2,branch
GSE44052,GSE38539,MONDO_0004989,MONDO_0002108,4.058068239477613,2.80346972569896,2,2,branch
GSE45202,GSE94566,MONDO_0004989,MONDO_0009831,3.3001673843314907,3.976412664592291,2,2,branch
GSE45258,GSE104305,MONDO_0005008,MONDO_0008315,1.2417079320372373,2.1234702702272803,3,3,branch
GSE45332,GSE99233,MONDO_0005575,MONDO_0008315,3.050916465677437,1.7998489232477948,3,3,branch
GSE45419,GSE54246,MONDO_0004989,MONDO_0005096,2.5866640563817005,3.3932404556549645,2,2,branch
GSE45732,GSE64867,MONDO_0004989,MONDO_0005096,3.664608253254779,4.008523012417667,2,2,branch
GSE46044,GSE65636,MONDO_0004643,MONDO_0006513,1.8707318006983875,1.2632275217228102,4,4,branch
GSE46164,GSE79313,MONDO_0018874,MONDO_0011996,4.743384003394027,1.2486287172777422,5,5,branch
GSE46718,GSE70031,MONDO_0018874,MONDO_0011996,4.875775302806254,2.0667960145152926,5,5,branch
GSE47058,GSE86288,MONDO_0005096,MONDO_0009831,3.1549639404511174,2.4115859288256987,2,2,branch
GSE47462,GSE98690,MONDO_0004989,MONDO_0002108,4.697588816769634,2.010586524670061,2,2,branch
GSE48159,GSE72628,MONDO_0006513,MONDO_0004643,2.2945999708348213,2.4289213886931647,4,4,branch
