ID_human,ID_mouse,mondo_id_human,mondo_id_mouse,log2(prob/prior)_human,log2(prob/prior)_mouse,depth_human,depth_mouse,pair_type
GSE100392,GSE58916,MONDO_0015075,MONDO_0009807,3.714387966045237,1.15052248565767,2,2,branch
GSE100669,GSE63679,MONDO_0003274,MONDO_0005089,1.903214739756205,1.263484429046463,1,1,branch
GSE100925,GSE77896,MONDO_0004989,MONDO_0009831,3.978429962143868,2.137767178998666,2,2,branch
GSE101419,GSE78510,MONDO_0001187,MONDO_0009831,2.101266696532556,5.392618613612327,2,2,branch
GSE101480,GSE79313,MONDO_0018874,MONDO_0011996,4.857970123045057,1.2486287172777422,5,5,branch
GSE101526,GSE71629,MONDO_0005575,MONDO_0005061,1.9104447945331224,1.8148397617804053,3,3,branch
GSE101528,GSE80083,MONDO_0008170,MONDO_0008315,1.0356408646865614,4.116692168392473,3,3,branch
GSE101665,GSE72480,MONDO_0009831,MONDO_0004989,4.2858140154395015,2.412380440757405,2,2,branch
GSE101691,GSE85491,MONDO_0004989,MONDO_0001187,1.2676825246921242,1.8316092703389697,2,2,branch
GSE101927,GSE79437,MONDO_0004989,MONDO_0100342,1.9929680662744165,4.083866177471436,2,2,branch
GSE101972,GSE65665,MONDO_0008170,MONDO_0007256,4.212056713595069,4.245581591294792,3,3,branch
GSE102097,GSE90067,MONDO_0005549,MONDO_0004643,1.266199321551045,3.544643631922829,4,4,branch
GSE102183,GSE96972,MONDO_0008315,MONDO_0024331,2.919987895657212,1.4424724823281152,3,3,branch
GSE102185,GSE89549,MONDO_0000376,MONDO_0005627,1.0837968417724553,1.0572347209884008,1,1,branch
GSE102244,GSE90059,MONDO_0018177,MONDO_0004643,4.0113540986516565,3.620433071999782,4,4,branch
GSE102305,GSE43028,MONDO_0008315,MONDO_0005061,1.497670701034389,2.439355577406172,3,3,branch
GSE102349,GSE94583,MONDO_0015459,MONDO_0007256,1.9660333431082235,4.9417259931317385,3,3,branch
GSE103001,GSE38539,MONDO_0004989,MONDO_0002108,2.7443345955571026,2.80346972569896,2,2,branch
GSE103152,GSE85648,MONDO_0009831,MONDO_0002108,1.6166589460117706,2.447948055629205,2,2,branch
GSE103305,GSE80087,MONDO_0002108,MONDO_0100342,4.455210300147066,3.275844405550001,2,2,branch
GSE103567,GSE85648,MONDO_0009693,MONDO_0002108,2.902192772448374,2.447948055629205,2,2,branch
GSE103790,GSE99233,MONDO_0016680,MONDO_0008315,1.8126211037040707,1.7998489232477948,3,3,branch
GSE103850,GSE63853,MONDO_0004989,MONDO_0100342,3.592215080802503,2.5947091579800934,2,2,branch
GSE104177,GSE72069,MONDO_0004989,MONDO_0009831,1.549828738470633,1.6538124170262154,2,2,branch
GSE104193,GSE90116,MONDO_0004989,MONDO_0009831,1.1800223409339137,2.764781132837785,2,2,branch
GSE104310,GSE72942,MONDO_0007256,MONDO_0005233,4.767474799915019,2.300083368946061,3,3,branch
GSE104836,GSE92721,MONDO_0005008,MONDO_0008315,4.50097889093876,1.7976789285190369,3,3,branch
GSE104854,GSE92721,MONDO_0005061,MONDO_0008315,4.484237525249439,1.7976789285190369,3,3,branch
GSE105083,GSE78696,MONDO_0002116,MONDO_0005575,4.685234193990768,4.103834393663368,3,3,branch
GSE106336,GSE75589,MONDO_0009831,MONDO_0100342,5.3323484204472615,3.8467304571481216,2,2,branch
GSE106338,GSE39509,MONDO_0001056,MONDO_0005836,2.270262829924244,4.1349031730232895,2,2,branch
GSE106605,GSE92301,MONDO_0007254,MONDO_0005159,1.20528142949052,5.507770747563734,2,2,branch
GSE106681,GSE58916,MONDO_0004989,MONDO_0009807,1.152243741041722,1.15052248565767,2,2,branch
GSE106694,GSE87388,MONDO_0004989,MONDO_0009831,1.152243741041722,5.446786066050785,2,2,branch
GSE106696,GSE81432,MONDO_0005575,MONDO_0008315,1.972231913927238,3.0932526151389075,3,3,branch
GSE106804,GSE90059,MONDO_0018177,MONDO_0004643,3.5021816471429004,3.620433071999782,4,4,branch
GSE107307,GSE63681,MONDO_0005089,MONDO_0000621,1.7006227343315428,1.287298778601344,1,1,branch
GSE107581,GSE86895,MONDO_0016680,MONDO_0005575,4.102177554068117,2.542893678204769,3,3,branch
GSE107601,GSE81212,MONDO_0016680,MONDO_0005575,4.595192915303225,1.4238668989676864,3,3,branch
GSE107762,GSE72146,MONDO_0004989,MONDO_0005096,4.0829610237724205,1.0084004118560723,2,2,branch
GSE107848,GSE80433,MONDO_0006295,MONDO_0002813,3.5063374184722456,1.2069677947773607,1,1,branch
GSE108003,GSE76123,MONDO_0018874,MONDO_0011996,3.807701933118014,1.719477574446753,5,5,branch
GSE108013,GSE63194,MONDO_0020665,MONDO_0005089,2.726396693648851,1.654832541122509,1,1,branch
GSE108072,GSE66457,MONDO_0009831,MONDO_0005096,5.782226591922466,2.79428758730084,2,2,branch
GSE108308,GSE72146,MONDO_0004989,MONDO_0005096,2.0790353386687386,1.0084004118560723,2,2,branch
GSE108883,GSE81941,MONDO_0004989,MONDO_0007254,2.5971524348449395,2.6849691676126,2,2,branch
GSE111520,GSE64867,MONDO_0001056,MONDO_0005096,3.5849292270712634,4.008523012417667,2,2,branch
GSE113695,GSE75589,MONDO_0002108,MONDO_0100342,2.262035392028455,3.8467304571481216,2,2,branch
GSE114725,GSE93313,MONDO_0004989,MONDO_0009831,3.403208058683193,4.807728386526056,2,2,branch
