ID,child,parent,child_score,parent_score,delta,child_gt_parent
GSE74639,MONDO_0000376,MONDO_0004992,4.398707022514535,0.3401096251379367,4.058597397376598,True
GSE84339,MONDO_0000376,MONDO_0004992,4.211090680091559,0.4670885293895596,3.744002150701999,True
GSE96106,MONDO_0000376,MONDO_0004992,4.196831590714368,-0.4049717314219995,4.601803322136367,True
GSE68795,MONDO_0000376,MONDO_0004992,4.187116215265259,0.4918704699645689,3.6952457453006895,True
GSE34914,MONDO_0000376,MONDO_0004992,4.166943067404747,0.3834142614011079,3.7835288060036394,True
GSE83492,MONDO_0000376,MONDO_0004992,4.124113629050396,-0.3542831089345067,4.478396737984903,True
GSE88943,MONDO_0000376,MONDO_0004992,4.075585663491387,0.3557418362407757,3.7198438272506116,True
GSE73555,MONDO_0000376,MONDO_0004992,3.9844460086100346,-0.3424257223286258,4.32687173093866,True
GSE86958,MONDO_0000376,MONDO_0004992,3.968463289933206,-0.1431602816322691,4.111623571565476,True
GSE32726,MONDO_0000376,MONDO_0004992,3.9682917702803113,0.3971722570246506,3.5711195132556606,True
GSE85118,MONDO_0000376,MONDO_0004992,3.930468091801051,0.463274019593242,3.467194072207809,True
GSE81089,MONDO_0000376,MONDO_0004992,3.8983471505724734,0.4206034990780779,3.4777436514943956,True
GSE95558,MONDO_0000376,MONDO_0004992,3.8821795147523055,0.3475269179843817,3.534652596767924,True
GSE70968,MONDO_0000376,MONDO_0004992,3.8670368861436977,0.030878223103101,3.836158663040597,True
GSE89843,MONDO_0000376,MONDO_0004992,3.733791369287015,0.1513552884550152,3.5824360808319997,True
GSE104854,MONDO_0000376,MONDO_0004992,3.5907974753256884,0.3167491632227022,3.274048312102986,True
GSE36597,MONDO_0000376,MONDO_0004992,3.4860966391692765,0.4561692072085328,3.0299274319607434,True
GSE79210,MONDO_0000376,MONDO_0004992,3.385658190338971,0.1038576827910922,3.281800507547879,True
GSE64513,MONDO_0000376,MONDO_0004992,3.384559401985729,0.373851568072954,3.010707833912775,True
GSE94518,MONDO_0000376,MONDO_0004992,3.356761272636912,-0.7476249358454994,4.104386208482412,True
GSE37764,MONDO_0000376,MONDO_0004992,3.2985019437501912,0.2411159288998316,3.0573860148503598,True
GSE83888,MONDO_0000376,MONDO_0004992,3.2907275810801004,-1.136320602581778,4.427048183661879,True
