gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE100690	28778995				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392676']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110818']
GSE100727	28807899; 29490982	['GSE100734']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392901']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110981']
GSE100732	29146908	['GSE100733']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392897']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP110979']
GSE100771	28738408				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA392942']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111009']
GSE100807	28803728	['GSE100809']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393130']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111108']
GSE100816	28826673				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393169']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111121']
GSE100820	28663579				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393180']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111130']
GSE100827	28827316				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393188']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111134']
GSE100835	29429976				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394214']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111924']
GSE100858					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393301']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111182']
GSE100863		['GSE100864']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393313']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111192']
GSE100873	29074580				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393341']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111203']
GSE100874	29337183	['GSE100876']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393331']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111197']
GSE100888	28904095				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393350']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111291']
GSE100934	28874804				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393453']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111352']
GSE100941	28805814				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393464']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111358']
GSE100961	28930658	['GSE100963']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393535']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111386']
GSE100964	29044429				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393538']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111389']
GSE100981					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393571']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111406']
GSE100983	28844887				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393572']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111408']
GSE100990	29343483				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393578']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111411']
GSE101016	28892471				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393591']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111425']
GSE101091	28844658				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393699']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111471']
GSE101092	28891811				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393702']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111473']
GSE101125	30014520				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA393774']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111509']
GSE101334	28886383				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394000']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111720']
GSE101340	29398449				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394012']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111732']
GSE101391	28821643				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394075']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111809']
GSE101470	29105654				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394525']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP111981']
GSE101487	28912243				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394614']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112343']
GSE101510	29564420				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394704']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112534']
GSE101527	29072299				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394763']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112617']
GSE101537	29217654				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394750']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112610']
GSE101552	29042531				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394823']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112698']
GSE101576	29141227	['GSE103164']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394867']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112725']
GSE101596	29058708	['GSE101598']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394912']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112761']
GSE101605	29141232	['GSE101633']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA394977']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112850']
GSE101623	28869965	['GSE101625']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395027']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112885']
GSE101624	28869965	['GSE101625']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395028']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112884']
GSE101643					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395051']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112903']
GSE101650	28864748; 30067809				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395063']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP112908']
GSE101657					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395093']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113014']
GSE101678	29051379				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395175']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113200']
GSE101690	28912267				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395212']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113227']
GSE101696	28855242				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395219']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113231']
GSE101701	28687623				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395226']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113242']
GSE101712	28899870	['GSE101735']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395242']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113249']
GSE101722	28842399				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395254']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113258']
GSE101732	28899870	['GSE101735']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395315']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113285']
GSE101748	28854362				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395343']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113307']
GSE101753	28738885				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395354']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113311']
GSE101767	29029386				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395381']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113332']
GSE101772	28891814				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395421']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113371']
GSE101806					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395563']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113473']
GSE101810	28705896				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395572']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113476']
GSE101815					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395581']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113491']
GSE101823	28772121				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395590']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113494']
GSE101826	29293084				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395595']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113496']
GSE101838	29281819				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395658']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113512']
GSE101859	28753606				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395724']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113541']
GSE101865	29107534				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395723']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113540']
GSE101898	28877475				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395866']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113599']
GSE101900	26381351				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395895']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113605']
GSE101902	28733386	['GSE101958']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396026']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113692']
GSE101903	28733386	['GSE101958']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396025']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113693']
GSE101905	29220667; 29741478				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395898']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113606']
GSE101925					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395935']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113635']
GSE101928	32585002				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395939']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113640']
GSE101939					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA395983']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113665']
GSE101957	28733386	['GSE101958']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396027']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113694']
GSE101984	28957441				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396069']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113737']
GSE101986	29233477; 29233554; 31631019	['GSE102795']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396074']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113739']
GSE101994	29298428	['GSE101997']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396166']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113761']
GSE101995	29298428	['GSE101997']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396165']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113762']
GSE101996	29298428	['GSE101997']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396164']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113763']
GSE102007	27333029					['https://www.ncbi.nlm.nih.gov/sra?term=SRP113560']
GSE102014	28502803				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396209']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113777']
GSE102020	28898113				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396220']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP113782']
GSE102123	28982197				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396737']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114519']
GSE102159	29073931	['GSE102163']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396892']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114683']
GSE102161	29073931	['GSE102163']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA396895']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114682']
GSE102204	29069603				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397005']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114759']
GSE102227	28972012				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397054']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114775']
GSE102269					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397184']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114840']
GSE102299	28902842				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397374']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114926']
GSE102317	29078395				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397409']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114949']
GSE102334	29311783				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397440']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114976']
GSE102345	28881745				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397467']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP114994']
GSE102365	28936162				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397571']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115029']
GSE102415					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397715']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115108']
GSE102443	28970527				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397750']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115118']
GSE102446	29100015	['GSE89698']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397756']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115136']
GSE102454	29030486	['GSE102456']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397778']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115145']
GSE102455	29030486	['GSE102456']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397781']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115143']
GSE102491	29127150				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397859']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115197']
GSE102562	28930663	['GSE101689']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398040']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115307']
GSE102563	28930663	['GSE101689']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398039']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115309']
GSE102564	28930663	['GSE101689']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398041']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115310']
GSE102566	28990932				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398043']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115306']
GSE102597	29033353				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398160']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115361']
GSE102623	29406269	['GSE102625']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398234']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115404']
GSE102624	29406269	['GSE102625']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398235']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115399']
GSE102642					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398255']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115417']
GSE102659	29429926				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398285']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115436']
GSE102675	28701342				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398366']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115474']
GSE102685					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398379']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115485']
GSE102688	29084956				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398383']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115486']
GSE102721	29386116	['GSE102937']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398499']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115543']
GSE102727	29233554				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398507']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115550']
GSE102757					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398621']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115618']
GSE102768	29400649				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398642']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115631']
GSE102772	30129933				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398669']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115652']
GSE102783	28924034				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398664']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115646']
GSE102788	37796967				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398681']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115662']
GSE102789	29024642				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA398683']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115689']
GSE102808	29426817				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399108']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115807']
GSE102817	38436707				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399097']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115826']
GSE102827	29230054; 30089906				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399082']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115838']
GSE102856	29321472				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399123']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115896']
GSE102857	29093060	['GSE102859']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399129']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115897']
GSE102858	29093060	['GSE102859']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399128']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115898']
GSE102867	28939687; 30463508				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399139']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115903']
GSE102890	29069514				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399166']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115915']
GSE102903	29079839	['GSE102904']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399192']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115922']
GSE102965					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399643']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP115985']
GSE102982	28928277				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399695']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116008']
GSE102992	29376887				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA399715']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116020']
GSE103086	29042517				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400174']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116254']
GSE103126	29288200	['GSE103195']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400234']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116217']
GSE103127					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400232']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116202']
GSE103162	29141227	['GSE103164']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400383']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116304']
GSE103180	29033324				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400495']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116356']
GSE103183	28920934				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400473']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116335']
GSE103185	29056337	['GSE103214']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400458']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116323']
GSE103194	28886095				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400478']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116334']
GSE103219					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400562']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116375']
GSE103246	29021239; 30813567	['GSE103248']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA400617']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP116547']
GSE103261	29180618	['GSE103263']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA401913']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP131306']
