gse	pmid	subseries	superseries	affiliation	BioProject	SRA
GSE40740	24485159				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA174794']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015678']
GSE40783	23101621	['GSE40784']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA174954']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015715']
GSE40859	23112178				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA175123']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015741']
GSE40953	23502161	['GSE41071']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA175773']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015853']
GSE40996	23491407				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA175527']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015815']
GSE41009	23382218				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA175529']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015819']
GSE41074	23544130	['GSE41081']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA175701']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015845']
GSE41166	23547170				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176027']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015904']
GSE41180					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176097']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015909']
GSE41245	23372014				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176307']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015945']
GSE41264	22941651				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176421']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015955']
GSE41279	24107992	['GSE32260']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176438']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP015964']
GSE41357	22927820				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176666']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016003']
GSE41359	23724959	['GSE41360']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA176714']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016004']
GSE41476	23846333				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178120']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016059']
GSE41586	23902433	['GSE41588']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA177604']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016118']
GSE41616	23257286				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA177700']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016140']
GSE41716	23160490				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178020']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016568']
GSE41745	21850022				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178116']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016583']
GSE41761					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178224']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016790']
GSE41795	23303937				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178210']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP016629']
GSE42006	23519614				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA178748']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017019']
GSE42142	23754950	['GSE42144']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA179205']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017123']
GSE42146	23222956				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA179284']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017138']
GSE42212	23893515	['GSE42213']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA179305']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017142']
GSE42326	23471003				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA181058']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017199']
GSE42420	24814343				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182153']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017305']
GSE42485	24146627				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182113']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017294']
GSE42509	23594524	['GSE45833']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182756']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017378']
GSE42563	23064648	['GSE42602']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182277']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017330']
GSE42608	24651478; 26484149				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209490']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026306']
GSE42630	23299892				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182377']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017349']
GSE42701	23313552				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182938']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017411']
GSE42735	24981740				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA182963']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017435']
GSE42948	24342436				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA183925']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017575']
GSE42951	24530302				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA183936']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017577']
GSE42960	23474817				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA183943']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017580']
GSE43070	24141950				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA184350']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017631']
GSE43093	24407023	['GSE43096']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA184402']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017644']
GSE43126	24606633; 26135619	['GSE42945']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA184667']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017670']
GSE43143	24098394				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA184717']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017684']
GSE43296	23993096				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA185391']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017788']
GSE43306	23993096				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA185392']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017789']
GSE43335	24149843				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA185476']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017809']
GSE43362	23371553				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA185828']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017843']
GSE43472	23428183				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA186514']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017933']
GSE43550	25521855				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA186684']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP017979']
GSE43586	23869956				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA186783']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018020']
GSE43603	22826563				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA186803']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018028']
GSE43666	23706177				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA186963']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018104']
GSE43726	28126920				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187476']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018221']
GSE43785	25535248	['GSE43791']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187482']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018241']
GSE43788	24485460	['GSE43789']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187479']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018234']
GSE43801	23696454				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187456']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018242']
GSE43834	23812588				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187930']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018254']
GSE43835	23636943	['GSE43836']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA187528']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018256']
GSE43925	23386205	['GSE43871']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA188169']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018312']
GSE43984					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA188295']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018359']
GSE44052		['GSE41973']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA188684']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018427']
GSE44064	23844023				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA188504']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018405']
GSE44256	23475073				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189248']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018552']
GSE44267	24335803				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189267']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018571']
GSE44376	23824327	['GSE44404']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189780']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018716']
GSE44377	23824327	['GSE44404']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189781']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018717']
GSE44378	23824327	['GSE44404']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189782']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018718']
GSE44379	23824327	['GSE44404']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189783']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018719']
GSE44384	23871666	['GSE44386']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189716']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018786']
GSE44385	23871666	['GSE44386']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA189717']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018723']
GSE44457	24214992				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA190013']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018778']
GSE44461	26020946; 26090325				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA191801']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018779']
GSE44568	23481595	['GSE44616']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA190655']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018836']
GSE44585	24469107				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA190911']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018815']
GSE44615	23481595	['GSE44616']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA190657']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018837']
GSE44618	24299736				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA190661']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018838']
GSE44646	25317556	['GSE54726']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA191069']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018848']
GSE44718	23690579				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA191084']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP018883']
GSE44769	23503461				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192693']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019222']
GSE44801		['GSE44804']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA191817']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019229']
GSE44866	24645746; 24407023				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192520']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019240']
GSE44875	25843708				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192215']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019241']
GSE44953	23535375	['GSE44957']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192614']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019248']
GSE44976	24000153				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192838']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019250']
GSE45133	23637631	['GSE45137']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA192951']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019207']
GSE45144	23974199				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193088']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019263']
GSE45162	26098574				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193090']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019275']
GSE45176					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193118']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019374']
GSE45202	23530127	['GSE45203']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193203']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019498']
GSE45258	23921087				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193502']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019758']
GSE45326	24344320				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193501']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019807']
GSE45332		['GSE45334']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193485']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019810']
GSE45335	23748561; 27869171	['GSE45337']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193492']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019817']
GSE45419	24223926				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193673']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019936']
GSE45428	23629695				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA193719']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019939']
GSE45442	23592795	['GSE45489']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194117']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019946']
GSE45453	23671415; 26178981				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194069']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019961']
GSE45510	25896974; 26240788; 33941787				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA194525']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP019994']
GSE45669	23861770				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA195585']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020470']
GSE45732	24937458	['GSE46073']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA197199']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020493']
GSE45734	23900141	['GSE45764']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196147']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020491']
GSE45735	23900141	['GSE45764']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196146']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020492']
GSE45785	23594524	['GSE45833']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196335']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020544']
GSE45822	23728302				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196433']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020561']
GSE45883	24278031				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196615']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020646']
GSE45910					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196634']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP020661']
GSE46030	25027325				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA196928']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021039']
GSE46044	24002588				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA197000']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021072']
GSE46056	24332853				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA197140']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021085']
GSE46164	23806289				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA197429']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021168']
GSE46217	23706135	['GSE46220']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198092']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021191']
GSE46224	24429688				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198165']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021193']
GSE46228					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198440']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021214']
GSE46322	25030422	['GSE46325']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198733']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021477']
GSE46323	23826166; 25416278				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA198737']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021478']
GSE46486	24279375	['GSE46487']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200629']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021891']
GSE46490	23660593	['GSE46508']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200696']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021912']
GSE46502		['GSE46503']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200693']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021908']
GSE46513	24533081				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200709']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021917']
GSE46514	23091622				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200712']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021916']
GSE46516	25405991				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200710']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021918']
GSE46523	24149843				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200727']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP021924']
GSE46561					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200968']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022025']
GSE46562	27846841				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA200967']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022028']
GSE46597	27016420	['GSE46598']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA201423']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022131']
GSE46611	23708386				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA201234']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022052']
GSE46613	26926465				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA201228']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022049']
GSE46622	23874421				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA201245']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022054']
GSE46665	24205042				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA201433']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022133']
GSE46718	24413322				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA202085']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022166']
GSE46805	24043806; 26833731	['GSE46818']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA202399']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022259']
GSE46817	24043806; 26833731	['GSE46818']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA202398']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022260']
GSE46831	23746550	['GSE46833']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA202875']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022307']
GSE46959	24475301				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203205']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022762']
GSE46989	23963696				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203222']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022772']
GSE47042	25058159	['GSE47043']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203359']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022871']
GSE47058	24590290				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203388']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022876']
GSE47095	25015643				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203548']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022905']
GSE47114	23892895				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203652']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022913']
GSE47117					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA203662']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022920']
GSE47157		['GSE47160']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205009']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP022953']
GSE47226	24470147				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205165']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP023111']
GSE47399					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205531']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP023199']
GSE47428					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205554']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP023233']
GSE47462	24887547				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205694']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP023262']
GSE47488	23938295	['GSE47678']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA205857']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP023270']
GSE47636	24152290	['GSE47747']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA207033']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP024244']
GSE47702	25408144				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA207338']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP024268']
GSE47718	24498427				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA207365']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP024274']
GSE47805	23945587	['GSE47807']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA207829']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP024669']
GSE47806	23945587	['GSE47807']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA207828']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP024674']
GSE47933	23977132				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208380']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026013']
GSE47944	24909886	['GSE47965']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208430']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026042']
GSE47997	23474544	['GSE47998']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208620']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026084']
GSE48032		['GSE46876']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208734']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026123']
GSE48034		['GSE46876']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208733']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026125']
GSE48035	26826130	['GSE46876']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA208732']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026126']
GSE48159		['GSE48161']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209071']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026204']
GSE48166					['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209081']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026208']
GSE48213	24176112	['GSE48216']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210428']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026537']
GSE48230	24124593				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209306']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026256']
GSE48240	24000294; 33916875				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209632']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026333']
GSE48263	23908766				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209423']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026297']
GSE48286	23851456; 25578728; 27455346				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209523']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026315']
GSE48403	24054872				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA209978']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026387']
GSE48423	24590075				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210152']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026454']
GSE48599	24525231				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210778']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026620']
GSE48603	24200226				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA210787']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026621']
GSE48678	24194914				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA211115']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP026690']
GSE48785	24171104				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA211752']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027015']
GSE48812	25044704				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA211827']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027258']
GSE48843	26834243				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA214460']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP028567']
GSE48846	24069164; 26834243	['GSE48173']			['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA211925']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027358']
GSE48850	24135138				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA211959']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027364']
GSE48889	24586954; 27830782				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA215795']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP028912']
GSE48918	24714562				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA212311']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027508']
GSE48933	24301020				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA212323']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027514']
GSE48953	24297791				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA212391']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP027530']
GSE49074	25306246				['https://www.ncbi.nlm.nih.gov/bioproject/PRJNA212913']	['https://www.ncbi.nlm.nih.gov/sra?term=SRP028118']
