child,parent
MONDO_0002656,MONDO_0004993
MONDO_0004647,MONDO_0004993
MONDO_0004970,MONDO_0004993
MONDO_0004986,MONDO_0004993
MONDO_0004989,MONDO_0004993
MONDO_0005096,MONDO_0004993
MONDO_0005138,MONDO_0004993
MONDO_0005159,MONDO_0004993
MONDO_0005206,MONDO_0004993
MONDO_0005213,MONDO_0004993
MONDO_0005232,MONDO_0004993
MONDO_0005617,MONDO_0004993
MONDO_0006181,MONDO_0004993
MONDO_0006474,MONDO_0004993
MONDO_0006509,MONDO_0004993
MONDO_0015075,MONDO_0004993
MONDO_0018364,MONDO_0004993
MONDO_0020596,MONDO_0004993
MONDO_0020804,MONDO_0004993
MONDO_0024878,MONDO_0004993
MONDO_0040677,MONDO_0004993
MONDO_0002529,MONDO_0002656
MONDO_0004950,MONDO_0006181
MONDO_0005192,MONDO_0006181
MONDO_0018531,MONDO_0006181
MONDO_0019086,MONDO_0006181
MONDO_0021345,MONDO_0006181
MONDO_0024331,MONDO_0006181
MONDO_0044925,MONDO_0006181
MONDO_0017827,MONDO_0002217
MONDO_0020560,MONDO_0002217
MONDO_0002032,MONDO_0024331
MONDO_0005008,MONDO_0024331
MONDO_0002071,MONDO_0001657
MONDO_0005499,MONDO_0001657
MONDO_0002108,MONDO_0021069
MONDO_0002120,MONDO_0021069
MONDO_0002691,MONDO_0021069
MONDO_0002817,MONDO_0021069
MONDO_0002116,MONDO_0009831
MONDO_0002142,MONDO_0021054
MONDO_0009807,MONDO_0005089
MONDO_0012817,MONDO_0005089
MONDO_0018078,MONDO_0005089
MONDO_0021054,MONDO_0005089
MONDO_0002271,MONDO_0005008
MONDO_0005112,MONDO_0006292
MONDO_0018364,MONDO_0008170
MONDO_0019004,MONDO_0006058
MONDO_0002271,MONDO_0002032
MONDO_0005055,MONDO_0016982
MONDO_0003060,MONDO_0002691
MONDO_0018531,MONDO_0002691
MONDO_0005138,MONDO_0008903
MONDO_0002447,MONDO_0005213
MONDO_0005131,MONDO_0005213
MONDO_0002447,MONDO_0011962
MONDO_0006143,MONDO_0005131
MONDO_0002659,MONDO_0002236
MONDO_0003072,MONDO_0002236
MONDO_0006325,MONDO_0002236
MONDO_0010150,MONDO_0002038
MONDO_0015459,MONDO_0002038
MONDO_0023644,MONDO_0002038
MONDO_0002928,MONDO_0005853
MONDO_0006058,MONDO_0005853
MONDO_0005023,MONDO_0004658
MONDO_0004989,MONDO_0007254
MONDO_0006256,MONDO_0040677
MONDO_0002501,MONDO_0005499
MONDO_0002512,MONDO_0006509
MONDO_0003659,MONDO_0006517
MONDO_0004355,MONDO_0006517
MONDO_0004403,MONDO_0006517
MONDO_0005499,MONDO_0100342
MONDO_0016680,MONDO_0100342
MONDO_0017827,MONDO_0100342
MONDO_0018744,MONDO_0100342
MONDO_0021640,MONDO_0100342
MONDO_0003001,MONDO_0006290
MONDO_0003113,MONDO_0006290
MONDO_0020561,MONDO_0005060
MONDO_0020562,MONDO_0005060
MONDO_0006486,MONDO_0002659
MONDO_0018536,MONDO_0002665
MONDO_0002665,MONDO_0003090
MONDO_0002665,MONDO_0003193
MONDO_0004953,MONDO_0006256
MONDO_0006043,MONDO_0006256
MONDO_0006639,MONDO_0002095
MONDO_0016982,MONDO_0002095
MONDO_0005211,MONDO_0002752
MONDO_0005063,MONDO_0004953
MONDO_0005006,MONDO_0002930
MONDO_0005611,MONDO_0004986
MONDO_0002752,MONDO_0005140
MONDO_0005033,MONDO_0000640
MONDO_0005097,MONDO_0005138
MONDO_0005233,MONDO_0005138
MONDO_0008433,MONDO_0005138
MONDO_0002814,MONDO_0001502
MONDO_0002814,MONDO_0002817
MONDO_0021312,MONDO_0002817
MONDO_0040679,MONDO_0006474
MONDO_0002898,MONDO_0000653
MONDO_0004988,MONDO_0000653
MONDO_0005611,MONDO_0040679
MONDO_0005184,MONDO_0006047
MONDO_0002930,MONDO_0002367
MONDO_0005206,MONDO_0002367
MONDO_0019004,MONDO_0002367
MONDO_0005131,MONDO_0002974
MONDO_0005005,MONDO_0005549
MONDO_0017884,MONDO_0005549
MONDO_0005549,MONDO_0005086
MONDO_0006639,MONDO_0005086
MONDO_0007763,MONDO_0005086
MONDO_0015075,MONDO_0002108
MONDO_0003050,MONDO_0005232
MONDO_0005057,MONDO_0005232
MONDO_0006468,MONDO_0005232
MONDO_0003050,MONDO_0005233
MONDO_0005061,MONDO_0005233
MONDO_0003059,MONDO_0003060
MONDO_0005211,MONDO_0005278
MONDO_0003210,MONDO_0001487
MONDO_0003210,MONDO_0019087
MONDO_0005005,MONDO_0005004
MONDO_0005075,MONDO_0002512
MONDO_0017884,MONDO_0002512
MONDO_0004953,MONDO_0005590
MONDO_0005023,MONDO_0005590
MONDO_0008433,MONDO_0000402
MONDO_0005036,MONDO_0004950
MONDO_0004658,MONDO_0004989
MONDO_0004988,MONDO_0004989
MONDO_0006116,MONDO_0004989
MONDO_0006256,MONDO_0004989
MONDO_0005028,MONDO_0019086
MONDO_0005580,MONDO_0019086
MONDO_0006639,MONDO_0002814
MONDO_0006047,MONDO_0005192
MONDO_0005192,MONDO_0002116
MONDO_0004338,MONDO_0003072
MONDO_0004631,MONDO_0005515
MONDO_0044925,MONDO_0005515
MONDO_0004643,MONDO_0020076
MONDO_0005029,MONDO_0020076
MONDO_0006311,MONDO_0020076
MONDO_0004647,MONDO_0020665
MONDO_0100342,MONDO_0020665
MONDO_0011996,MONDO_0004643
MONDO_0018874,MONDO_0004643
MONDO_0005496,MONDO_0018531
MONDO_0007256,MONDO_0018531
MONDO_0005086,MONDO_0005206
MONDO_0004957,MONDO_0020596
MONDO_0004958,MONDO_0044710
MONDO_0012883,MONDO_0018874
MONDO_0015667,MONDO_0018874
MONDO_0005005,MONDO_0007763
MONDO_0005006,MONDO_0002926
MONDO_0005034,MONDO_0015447
MONDO_0005075,MONDO_0015447
MONDO_0005034,MONDO_0024622
MONDO_0005075,MONDO_0024622
MONDO_0005058,MONDO_0002924
MONDO_0005060,MONDO_0002813
MONDO_0005211,MONDO_0024885
MONDO_0018872,MONDO_0015667
MONDO_0005238,MONDO_0020561
MONDO_0013280,MONDO_0020561
MONDO_0005341,MONDO_0020804
MONDO_0005494,MONDO_0000616
MONDO_0005494,MONDO_0000618
MONDO_0005494,MONDO_0006513
