gse_1,gse_2,jaccard,containment,overlap_count,shared_cuis,title_1,title_2,comparison
GSE76801,GSE106663,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",SNHG5 siRNA  knock down in HCT116 cells,The BLUEPRINT Murine Lymphocyte Epigenome Reference Resource [scRNA-Seq],human_mouse
GSE76801,GSE54984,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",SNHG5 siRNA  knock down in HCT116 cells,Probing Brachyury Function during ES cell differentiaiton,human_mouse
GSE76801,GSE83218,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",SNHG5 siRNA  knock down in HCT116 cells,Identification of Sin3B regulated genes in HSCs,human_mouse
GSE76883,GSE83153,0.217391304347826,0.4166666666666667,5,"['C0017262', 'C0185117', 'C2911684', 'C3854321', 'C4699379']",Vitamin D/Vitamin D Receptor (VDR) Axis Regulates LMNA gene expression [RNA-Seq],Comparison of gene transcription in Ly49G versus Ly49I positive splenic NK cells,human_mouse
GSE76987,GSE116177,0.217391304347826,0.4545454545454545,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene signature in sessile serrated polyps identifies colon cancer subtype,Haemopedia: Mouse Haematopoietic Gene Expression,human_mouse
GSE76998,GSE30578,0.217391304347826,0.5,5,"['C0035648', 'C0036866', 'C0596150', 'C0870672', 'C1521970']",Transcriptomic Dynamics during Differentiation Process of Human Pluripotent Cells into Hepatocyte-like Cells,RNA mapping of Drosha deficient cells,human_mouse
GSE77530,GSE116177,0.217391304347826,0.4545454545454545,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression in human glioblastoma specimens,Haemopedia: Mouse Haematopoietic Gene Expression,human_mouse
GSE78527,GSE84302,0.217391304347826,0.8333333333333334,5,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",RNA sequencing of siSNRNP40 in breast cancer cells,RNA sequencing to identify common targets for GSK3,human_mouse
GSE79130,GSE69374,0.217391304347826,0.5555555555555556,5,"['C0004793', 'C0162326', 'C0162327', 'C1519249', 'C3853789']",Transcriptome profiling of single HEK293 cells with UMIs sequenced on Ion Torrent Proton (Run 20151215),Transcriptional profiling of BXD dorsal root ganglia,human_mouse
GSE79130,GSE70904,0.217391304347826,0.5555555555555556,5,"['C0004793', 'C0162326', 'C0162327', 'C1519249', 'C3853789']",Transcriptome profiling of single HEK293 cells with UMIs sequenced on Ion Torrent Proton (Run 20151215),Eed inactivation in Cdkn2a-null MLL-AF9 transformed cells,human_mouse
GSE79130,GSE75049,0.217391304347826,0.5555555555555556,5,"['C0004793', 'C0162326', 'C0162327', 'C1519249', 'C3853789']",Transcriptome profiling of single HEK293 cells with UMIs sequenced on Ion Torrent Proton (Run 20151215),Exploiting single-cell expression to characterize co-expression replicability,human_mouse
GSE80538,GSE71889,0.217391304347826,0.4166666666666667,5,"['C0007589', 'C1159970', 'C1417683', 'C1417684', 'C1817634']",Guided self-organization recapitulates tissue architecture in a bioengineered brain organoid model,Optogenetic induction of Brn2 drive neural differentiation,human_mouse
GSE80829,GSE77476,0.217391304347826,0.3846153846153846,5,"['C0017262', 'C0017263', 'C0185117', 'C1160700', 'C1517486']",Gene expression profiling of melanoma cell lines by RNASeq,Genome-wide analysis of gene expression of IWR1/Y27632-maintained epiblast stem cells (EpiSCs),human_mouse
GSE84691,GSE56446,0.217391304347826,0.4545454545454545,5,"['C0871261', 'C1704632', 'C1706817', 'C2911692', 'C3844738']",RNAseq to profile IFNg response in human primary monocytes,E14.5 mouse cortical neurospheres in response to Fezf2 over-expression,human_mouse
GSE85227,GSE83529,0.217391304347826,0.4166666666666667,5,"['C0008972', 'C0557651', 'C0947630', 'C1705923', 'C2603343']",RNA-seq of human HeLa cell,A MOUSE MODEL OF ALCOHOLIC LIVER FIBROSIS-ASSOCIATED ACUTE KIDNEY INJURY IDENTIFIES KEY MOLECULAR PATHWAYS,human_mouse
GSE85685,GSE38669,0.217391304347826,0.5,5,"['C0027627', 'C0445092', 'C1513183', 'C2939419', 'C4255448']",RNA profiling of four DLD1 colorectal cancer cell derivatives that recapitulate EMT/MET transitions during metastasis.,RRP1B is a Metastasis Modifier that Regulates the Transcriptome through mRNA Splicing,human_mouse
GSE85935,GSE89460,0.217391304347826,0.5555555555555556,5,"['C0025914', 'C0025929', 'C0026809', 'C1331371', 'C1455722']",Mouse Dux is myotoxic and shares partial functional homology with its human paralog DUX4,Activity-dependent gene expression in the mammalian olfactory epithelium,human_mouse
GSE86610,GSE81885,0.217391304347826,0.5,5,"['C0726639', 'C0752248', 'C1825598', 'C3178810', 'C4049986']",Transciptome profiling of NoDice and RNaseIII null cells prior to and after polyIC treatment,Impact of Runx3 deficiency on mature CD8 T cell responses [RNA-seq],human_mouse
GSE87198,GSE95141,0.217391304347826,1.0,5,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']","RNA sequencing quantitative analysis of RNA editing levels in ADAR1, ADAR2, AIMP2 overexpression and wild type HEK293 cells",RNA sequencing of striatum tissue from naive Csnk1e knockout mice and wild-type mice,human_mouse
GSE89872,GSE57959,0.217391304347826,0.5555555555555556,5,"['C0162327', 'C0162801', 'C0917793', 'C1294197', 'C4086963']",A cost-effective RNA sequencing protocol for large-scale gene expression studies,Comparison of expression data of  2 & 4- months old  CRYAAN101D versus CRYAAWT lenses,human_mouse
