gse_1,gse_2,jaccard,containment,overlap_count,shared_cuis,title_1,title_2,comparison
GSE71511,GSE71513,1.0,1.0,112,"['C0003463', 'C0005967', 'C0007102', 'C0007621', 'C0008493', 'C0009402', 'C0009932', 'C0015461', 'C0017255', 'C0017262', 'C0017263', 'C0017337', 'C0021852', 'C0025914', 'C0025929', 'C0026809', 'C0026882', 'C0027651', 'C0031327', 'C0031843', 'C0037088', 'C0040648', 'C0043297', 'C0079427', 'C0079429', 'C0086222', 'C0086418', 'C0153425', 'C0185117', 'C0205225', 'C0205281', 'C0221284', 'C0238196', 'C0242613', 'C0243067', 'C0243095', 'C0308718', 'C0332183', 'C0346627', 'C0401925', 'C0441712', 'C0542341', 'C0544461', 'C0545833', 'C0596263', 'C0596611', 'C0597611', 'C0598496', 'C0599220', 'C0599894', 'C0675390', 'C0677898', 'C0699790', 'C0700114', 'C0700205', 'C0851285', 'C0854069', 'C0870071', 'C1159372', 'C1160700', 'C1167092', 'C1167093', 'C1302674', 'C1315032', 'C1325410', 'C1327622', 'C1332838', 'C1333030', 'C1334278', 'C1335883', 'C1337048', 'C1337050', 'C1413131', 'C1417166', 'C1417679', 'C1420251', 'C1420631', 'C1425260', 'C1435181', 'C1510697', 'C1517486', 'C1521840', 'C1522281', 'C1524059', 'C1564654', 'C1566330', 'C1566664', 'C1705273', 'C1705285', 'C1706376', 'C1706979', 'C1879547', 'C1880287', 'C1882979', 'C2587213', 'C2607943', 'C2825141', 'C2926606', 'C3274648', 'C3539849', 'C3711796', 'C4050364', 'C4318409', 'C4477029', 'C4505109', 'C4724363', 'C5400960', 'C5401389', 'C5419559', 'C5444829', 'C5444830', 'C5446677']",ARID1A loss impairs enhancer-mediated gene regulation and drives colon cancer in mice [HCT116_RNA-seq],ARID1A loss impairs enhancer-mediated gene regulation and drives colon cancer in mice [primary cells_RNA-seq],human_mouse
GSE87042,GSE87043,1.0,1.0,110,"['C0003463', 'C0004561', 'C0005967', 'C0007590', 'C0007591', 'C0007621', 'C0007634', 'C0007680', 'C0008630', 'C0011435', 'C0015461', 'C0017340', 'C0017373', 'C0023172', 'C0025914', 'C0025929', 'C0026809', 'C0027651', 'C0027882', 'C0028877', 'C0035143', 'C0035298', 'C0035331', 'C0035335', 'C0038250', 'C0040649', 'C0079424', 'C0080113', 'C0086418', 'C0144227', 'C0162493', 'C0205088', 'C0205369', 'C0205370', 'C0205396', 'C0206427', 'C0206428', 'C0242961', 'C0243037', 'C0243107', 'C0301863', 'C0370079', 'C0392747', 'C0443172', 'C0458003', 'C0459649', 'C0524983', 'C0552545', 'C0591833', 'C0596263', 'C0598494', 'C0678723', 'C0679846', 'C0694889', 'C0729333', 'C0751483', 'C0751484', 'C0751549', 'C0814002', 'C0854069', 'C0856244', 'C0870134', 'C0870411', 'C1136335', 'C1136359', 'C1155711', 'C1158770', 'C1257873', 'C1268141', 'C1300203', 'C1335884', 'C1336564', 'C1413131', 'C1413336', 'C1413337', 'C1417166', 'C1511726', 'C1513384', 'C1516924', 'C1522730', 'C1527148', 'C1546437', 'C1550043', 'C1552740', 'C1655731', 'C1657115', 'C1704913', 'C1705314', 'C1705315', 'C1707719', 'C1709625', 'C1819048', 'C2262776', 'C2755041', 'C2986743', 'C2986744', 'C3245479', 'C3540014', 'C3714741', 'C3714787', 'C3828338', 'C3850096', 'C3858752', 'C3899739', 'C4308074', 'C4318409', 'C4329794', 'C4727083', 'C5236074', 'C5690905']","The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis [RNA-Seq_Hs]","The Dynamic Epigenetic Landscape of the Retina During Development, Reprogramming, and Tumorigenesis [RNA-Seq_Mm]",human_mouse
GSE103658,GSE103725,1.0,1.0,101,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0151779', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment (RNA-seq_Patient.batch3),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2],human_mouse
GSE77702,GSE77703,1.0,1.0,96,"['C0002736', 'C0005456', 'C0005574', 'C0008972', 'C0009585', 'C0009586', 'C0017262', 'C0017387', 'C0025360', 'C0025519', 'C0025520', 'C0026609', 'C0026610', 'C0027361', 'C0027765', 'C0027884', 'C0030705', 'C0031227', 'C0032659', 'C0033684', 'C0035668', 'C0035687', 'C0038164', 'C0039421', 'C0039431', 'C0042075', 'C0079399', 'C0085084', 'C0085268', 'C0086582', 'C0162340', 'C0185117', 'C0205422', 'C0236642', 'C0237401', 'C0268696', 'C0332290', 'C0333668', 'C0338451', 'C0392760', 'C0441712', 'C0443331', 'C0521115', 'C0531051', 'C0557651', 'C0597297', 'C0600493', 'C0600600', 'C0600680', 'C0682969', 'C0683143', 'C0752188', 'C0752190', 'C0752235', 'C0872079', 'C0947630', 'C1145667', 'C1158769', 'C1167622', 'C1279941', 'C1314939', 'C1414860', 'C1420306', 'C1420573', 'C1420588', 'C1456383', 'C1517945', 'C1521713', 'C1521746', 'C1524026', 'C1524057', 'C1550655', 'C1704945', 'C1705908', 'C1705923', 'C1706376', 'C1822695', 'C1853237', 'C1862939', 'C1879646', 'C1880156', 'C2347852', 'C2603343', 'C2610186', 'C2699749', 'C2911684', 'C2931786', 'C3245468', 'C3854321', 'C4041990', 'C4043426', 'C4699379', 'C4760636', 'C5544415', 'C5575473', 'C5575508']","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_human]","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_mouse]",human_mouse
GSE77704,GSE77703,1.0,1.0,96,"['C0002736', 'C0005456', 'C0005574', 'C0008972', 'C0009585', 'C0009586', 'C0017262', 'C0017387', 'C0025360', 'C0025519', 'C0025520', 'C0026609', 'C0026610', 'C0027361', 'C0027765', 'C0027884', 'C0030705', 'C0031227', 'C0032659', 'C0033684', 'C0035668', 'C0035687', 'C0038164', 'C0039421', 'C0039431', 'C0042075', 'C0079399', 'C0085084', 'C0085268', 'C0086582', 'C0162340', 'C0185117', 'C0205422', 'C0236642', 'C0237401', 'C0268696', 'C0332290', 'C0333668', 'C0338451', 'C0392760', 'C0441712', 'C0443331', 'C0521115', 'C0531051', 'C0557651', 'C0597297', 'C0600493', 'C0600600', 'C0600680', 'C0682969', 'C0683143', 'C0752188', 'C0752190', 'C0752235', 'C0872079', 'C0947630', 'C1145667', 'C1158769', 'C1167622', 'C1279941', 'C1314939', 'C1414860', 'C1420306', 'C1420573', 'C1420588', 'C1456383', 'C1517945', 'C1521713', 'C1521746', 'C1524026', 'C1524057', 'C1550655', 'C1704945', 'C1705908', 'C1705923', 'C1706376', 'C1822695', 'C1853237', 'C1862939', 'C1879646', 'C1880156', 'C2347852', 'C2603343', 'C2610186', 'C2699749', 'C2911684', 'C2931786', 'C3245468', 'C3854321', 'C4041990', 'C4043426', 'C4699379', 'C4760636', 'C5544415', 'C5575473', 'C5575508']","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_Stability]","Distinct and shared functions of ALS-associated TDP-43, FUS, and TAF15 revealed by comprehensive multi-system integrative analyses [RNA-Seq_mouse]",human_mouse
GSE81148,GSE81149,1.0,1.0,93,"['C0007593', 'C0007600', 'C0008546', 'C0008976', 'C0011381', 'C0012403', 'C0016640', 'C0017263', 'C0021467', 'C0021469', 'C0022827', 'C0023418', 'C0026336', 'C0026809', 'C0034770', 'C0040649', 'C0040661', 'C0041904', 'C0085669', 'C0087111', 'C0162493', 'C0205161', 'C0205245', 'C0205474', 'C0220825', 'C0235939', 'C0241665', 'C0302891', 'C0333562', 'C0392762', 'C0441712', 'C0524811', 'C0542341', 'C0591833', 'C0680022', 'C0808232', 'C0851285', 'C0872252', 'C0876936', 'C0877858', 'C0887909', 'C0920321', 'C0948976', 'C1096775', 'C1145667', 'C1148674', 'C1154415', 'C1156200', 'C1156284', 'C1158770', 'C1158817', 'C1158830', 'C1167622', 'C1176019', 'C1323350', 'C1325550', 'C1326294', 'C1327622', 'C1328819', 'C1422073', 'C1428431', 'C1448198', 'C1510620', 'C1511331', 'C1511726', 'C1512140', 'C1514583', 'C1546437', 'C1550458', 'C1551024', 'C1552009', 'C1628982', 'C1705162', 'C1706376', 'C2610645', 'C2613318', 'C2698041', 'C2699893', 'C2700217', 'C2754017', 'C2755658', 'C2930586', 'C3161031', 'C3161035', 'C3245479', 'C3271585', 'C3463820', 'C3463824', 'C3658215', 'C3714741', 'C4021789', 'C5379843', 'C5417695']",RNASeq of MV4;11 cells transduced with scramble shRNA or BRD4 shRNA in combination with DMSO or SGC0946,RNASeq of MLL-AF9 cells transduced with scramle shRNA or BRD4 shRNA in combination with DMSO or SGC0946,human_mouse
GSE102902,GSE102903,1.0,1.0,66,"['C0002736', 'C0003209', 'C0004112', 'C0011381', 'C0021368', 'C0025360', 'C0026336', 'C0030705', 'C0031327', 'C0037080', 'C0037083', 'C0086418', 'C0086982', 'C0149784', 'C0205263', 'C0221099', 'C0237820', 'C0253050', 'C0333348', 'C0441712', 'C0521390', 'C0871161', 'C0871261', 'C0876936', 'C0907533', 'C1155393', 'C1290884', 'C1292721', 'C1327441', 'C1366441', 'C1367307', 'C1414860', 'C1420306', 'C1444748', 'C1456383', 'C1510620', 'C1515999', 'C1524059', 'C1530116', 'C1550443', 'C1550655', 'C1555688', 'C1621636', 'C1704632', 'C1704819', 'C1704945', 'C1705908', 'C1706376', 'C1706817', 'C1706979', 'C1822695', 'C1862939', 'C1879547', 'C2004454', 'C2717959', 'C2911692', 'C2931786', 'C3161035', 'C3665347', 'C3844738', 'C3853572', 'C3875321', 'C4086634', 'C4318409', 'C4505109', 'C5575508']","Neuronal EphB1 induces STAT3 activation in astrocytes, which is impaired in ALS models [Hs]","Neuronal EphB1 induces STAT3 activation in astrocytes, which is impaired in ALS models [Mm]",human_mouse
GSE95516,GSE85627,1.0,1.0,49,"['C0008546', 'C0008922', 'C0010813', 'C0017262', 'C0025914', 'C0025929', 'C0026809', 'C0029047', 'C0086418', 'C0185117', 'C0449774', 'C0591833', 'C0596311', 'C0600401', 'C0870781', 'C1145667', 'C1148674', 'C1158770', 'C1158800', 'C1167622', 'C1317909', 'C1323350', 'C1325550', 'C1327302', 'C1331371', 'C1336788', 'C1414197', 'C1446949', 'C1455722', 'C1514925', 'C1515877', 'C1538256', 'C1710463', 'C1849394', 'C1879547', 'C2610645', 'C2911684', 'C3470535', 'C3853838', 'C3854321', 'C3887511', 'C3890878', 'C4318409', 'C4553518', 'C4699379', 'C5203057', 'C5203058', 'C5203059', 'C5203061']",Conserved roles for murine mDUX and human DUX4 in activating cleavage stage genes and MERVL/HERVL retrotransposons [RNA-Seq Human],Conserved roles for murine mDUX and human DUX4 in activating cleavage stage genes and MERVL/HERVL retrotransposons [RNA-Seq Mouse],human_mouse
GSE105137,GSE105138,1.0,1.0,23,"['C0001272', 'C0205216', 'C0334094', 'C0392756', 'C0442797', 'C0456984', 'C0580413', 'C0596290', 'C0752248', 'C1327760', 'C1424723', 'C1428785', 'C1449575', 'C1513400', 'C1514485', 'C1531135', 'C2350567', 'C2698855', 'C3244125', 'C3245505', 'C4528292', 'C4723647', 'C5552813']",Gene Expression Profiling of melanoma cell lines after shRNA-mediated knockdown of JMJD2C or LSD1,Gene Expression Profiling of one melanoma cell line after shRNA-mediated knockdown of JMJD2C or LSD1,human_mouse
GSE81328,GSE81329,1.0,1.0,21,"['C0005961', 'C0005976', 'C0023467', 'C0026336', 'C0026339', 'C0026809', 'C0029017', 'C0194037', 'C0215508', 'C0591833', 'C0842093', 'C1335654', 'C1417106', 'C1435548', 'C1705326', 'C3161035', 'C3542427', 'C3714583', 'C3853906', 'C4329462', 'C5668307']",MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq human],MEIS2 is a novel oncogenic partner in AML1-ETO positive AML [RNA-Seq mouse],human_mouse
GSE75853,GSE75854,1.0,1.0,19,"['C0003810', 'C0008441', 'C0008972', 'C0018017', 'C0025723', 'C0033414', 'C0086860', 'C0205263', 'C0206723', 'C0557651', 'C0947630', 'C1159269', 'C1571704', 'C1705923', 'C1875701', 'C2603343', 'C2753301', 'C2754763', 'C4727569']",H3K36 mutations promote sarcomagenesis through genome-wide remodeling of H3K36 and H3K27 methylation [RNA_Chondroblastoma_H3K36M_H3WT],H3K36 mutations promote sarcomagenesis through genome-wide remodeling of H3K36 and H3K27 methylation [Ring1a-1b_RNASeq],human_mouse
GSE109702,GSE67934,1.0,1.0,2,"['C0013862', 'C1704732']",Title not found on the page.,Title not found on the page.,human_mouse
GSE103630,GSE103725,0.99009900990099,1.0,100,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in melanoma cell lines pre MAPKi treatment vs. post-MAPKi resistance (RNA-seq_CellLine.batch2),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2],human_mouse
GSE57096,GSE49622,0.9887640449438202,1.0,88,"['C0001675', 'C0002778', 'C0007591', 'C0008546', 'C0013936', 'C0017001', 'C0017262', 'C0017337', 'C0017428', 'C0017471', 'C0019652', 'C0024660', 'C0025723', 'C0035678', 'C0035679', 'C0035680', 'C0035681', 'C0037864', 'C0040649', 'C0079429', 'C0080129', 'C0086153', 'C0086222', 'C0086860', 'C0150775', 'C0162493', 'C0185117', 'C0332257', 'C0332268', 'C0376452', 'C0392747', 'C0441777', 'C0441785', 'C0536221', 'C0585064', 'C0683572', 'C0751606', 'C0872262', 'C0920317', 'C0936012', 'C1148521', 'C1158770', 'C1158817', 'C1158830', 'C1160477', 'C1179412', 'C1279941', 'C1291847', 'C1306673', 'C1325550', 'C1326810', 'C1415740', 'C1417679', 'C1420322', 'C1422338', 'C1427164', 'C1511680', 'C1512977', 'C1513822', 'C1524024', 'C1527171', 'C1554963', 'C1555715', 'C1568630', 'C1704332', 'C1705739', 'C1706450', 'C1720950', 'C1849394', 'C1882071', 'C1956352', 'C2257075', 'C2338314', 'C2717781', 'C2911684', 'C2936263', 'C3536933', 'C3548902', 'C3658291', 'C3829683', 'C3854321', 'C3898883', 'C4086963', 'C4277534', 'C4323874', 'C4699379', 'C4724874', 'C4760607']",Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [sperm; RNA-seq],Analysis of the Epigenomic and Transcriptional Landscapes during mammalian spermatogenesis [RNA-seq],human_mouse
GSE96975,GSE96991,0.981651376146789,1.0,107,"['C0001527', 'C0009944', 'C0016030', 'C0016059', 'C0018787', 'C0018799', 'C0021485', 'C0022646', 'C0023884', 'C0023899', 'C0024109', 'C0025914', 'C0025929', 'C0026606', 'C0026809', 'C0030664', 'C0030668', 'C0037083', 'C0039795', 'C0040300', 'C0079189', 'C0083031', 'C0085104', 'C0086418', 'C0087111', 'C0151650', 'C0151654', 'C0162854', 'C0167462', 'C0178784', 'C0203408', 'C0205177', 'C0205469', 'C0221284', 'C0222106', 'C0227614', 'C0227665', 'C0302350', 'C0391978', 'C0412618', 'C0439064', 'C0441655', 'C0441889', 'C0443193', 'C0444099', 'C0456079', 'C0553257', 'C0596138', 'C0597295', 'C0597357', 'C0677042', 'C0721399', 'C0723712', 'C0752312', 'C0919386', 'C0919747', 'C1123023', 'C1150579', 'C1159372', 'C1268110', 'C1272883', 'C1327616', 'C1332762', 'C1332838', 'C1333196', 'C1333340', 'C1334100', 'C1366882', 'C1370600', 'C1413131', 'C1417166', 'C1446614', 'C1448475', 'C1448476', 'C1504308', 'C1511726', 'C1515877', 'C1519615', 'C1521840', 'C1533685', 'C1546437', 'C1546781', 'C1547427', 'C1547707', 'C1699803', 'C1707714', 'C1710082', 'C1742862', 'C1828121', 'C1879547', 'C2700387', 'C3245479', 'C3537152', 'C3714741', 'C3853838', 'C4037972', 'C4037974', 'C4037986', 'C4318409', 'C4520765', 'C4554416', 'C4745169', 'C5237367', 'C5419559', 'C5551416', 'C5551417', 'C5575529']",Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [human],Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [mouse],human_mouse
GSE97358,GSE96991,0.981651376146789,1.0,107,"['C0001527', 'C0009944', 'C0016030', 'C0016059', 'C0018787', 'C0018799', 'C0021485', 'C0022646', 'C0023884', 'C0023899', 'C0024109', 'C0025914', 'C0025929', 'C0026606', 'C0026809', 'C0030664', 'C0030668', 'C0037083', 'C0039795', 'C0040300', 'C0079189', 'C0083031', 'C0085104', 'C0086418', 'C0087111', 'C0151650', 'C0151654', 'C0162854', 'C0167462', 'C0178784', 'C0203408', 'C0205177', 'C0205469', 'C0221284', 'C0222106', 'C0227614', 'C0227665', 'C0302350', 'C0391978', 'C0412618', 'C0439064', 'C0441655', 'C0441889', 'C0443193', 'C0444099', 'C0456079', 'C0553257', 'C0596138', 'C0597295', 'C0597357', 'C0677042', 'C0721399', 'C0723712', 'C0752312', 'C0919386', 'C0919747', 'C1123023', 'C1150579', 'C1159372', 'C1268110', 'C1272883', 'C1327616', 'C1332762', 'C1332838', 'C1333196', 'C1333340', 'C1334100', 'C1366882', 'C1370600', 'C1413131', 'C1417166', 'C1446614', 'C1448475', 'C1448476', 'C1504308', 'C1511726', 'C1515877', 'C1519615', 'C1521840', 'C1533685', 'C1546437', 'C1546781', 'C1547427', 'C1547707', 'C1699803', 'C1707714', 'C1710082', 'C1742862', 'C1828121', 'C1879547', 'C2700387', 'C3245479', 'C3537152', 'C3714741', 'C3853838', 'C4037972', 'C4037974', 'C4037986', 'C4318409', 'C4520765', 'C4554416', 'C4745169', 'C5237367', 'C5419559', 'C5551416', 'C5551417', 'C5575529']",Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [168 human cardiac fibroblasts],Integrated target discovery screens identify IL11 as novel therapeutic target for fibrosis [mouse],human_mouse
GSE75299,GSE103725,0.9805825242718448,1.0,101,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0151779', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment (RNA-seq),Expression changes in Melanomas pre MAPKi treatment vs. on MAPKi treatment [Y1.7.FPKM.batch1.2],human_mouse
GSE97053,GSE97054,0.978494623655914,1.0,91,"['C0002386', 'C0002793', 'C0005972', 'C0007589', 'C0014597', 'C0024109', 'C0024660', 'C0031437', 'C0034051', 'C0034085', 'C0034963', 'C0037083', 'C0037088', 'C0038888', 'C0038889', 'C0038891', 'C0042834', 'C0043240', 'C0086418', 'C0205224', 'C0205245', 'C0205360', 'C0205409', 'C0225694', 'C0225695', 'C0225698', 'C0225699', 'C0225700', 'C0227130', 'C0242488', 'C0243095', 'C0282637', 'C0334213', 'C0340652', 'C0349676', 'C0374711', 'C0391892', 'C0447411', 'C0449695', 'C0475447', 'C0542341', 'C0561852', 'C0600449', 'C0750927', 'C0752248', 'C0887909', 'C1155711', 'C1158765', 'C1159442', 'C1273342', 'C1285572', 'C1333410', 'C1440080', 'C1511938', 'C1512085', 'C1512977', 'C1515933', 'C1516240', 'C1547311', 'C1548221', 'C1621393', 'C1705181', 'C1706428', 'C1708673', 'C1709959', 'C1764827', 'C1880022', 'C1881379', 'C2226910', 'C2329816', 'C2339454', 'C2350593', 'C2607943', 'C2700217', 'C2717879', 'C2825078', 'C2825141', 'C2926606', 'C2945687', 'C3178810', 'C3263722', 'C3263723', 'C3496194', 'C3537152', 'C4037972', 'C4055157', 'C4318409', 'C4319951', 'C4706387', 'C4727083', 'C5670396']",Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor [human RNA-seq],Regeneration of the lung alveolus by an evolutionarily conserved epithelial progenitor [mouse RNA-seq],human_mouse
GSE83652,GSE83651,0.9716312056737588,1.0,137,"['C0000702', 'C0002766', 'C0002842', 'C0002844', 'C0007595', 'C0011546', 'C0012725', 'C0012727', 'C0012854', 'C0013867', 'C0014653', 'C0017262', 'C0017428', 'C0025914', 'C0025929', 'C0026336', 'C0026339', 'C0026809', 'C0026882', 'C0029017', 'C0033137', 'C0034786', 'C0040648', 'C0072461', 'C0079427', 'C0086418', 'C0107720', 'C0179199', 'C0185117', 'C0205216', 'C0205225', 'C0205227', 'C0205415', 'C0295291', 'C0332290', 'C0376298', 'C0376358', 'C0377914', 'C0392756', 'C0439612', 'C0439857', 'C0442797', 'C0443304', 'C0456080', 'C0521114', 'C0522498', 'C0544461', 'C0560184', 'C0580413', 'C0596611', 'C0597611', 'C0599295', 'C0600139', 'C0694888', 'C0700329', 'C0812202', 'C0812380', 'C0887950', 'C1145667', 'C1158517', 'C1167622', 'C1293131', 'C1304888', 'C1308189', 'C1323350', 'C1325410', 'C1331371', 'C1333360', 'C1335497', 'C1367578', 'C1370970', 'C1414467', 'C1419413', 'C1420631', 'C1430988', 'C1447749', 'C1451774', 'C1455722', 'C1510472', 'C1511726', 'C1514521', 'C1514562', 'C1517378', 'C1517945', 'C1518830', 'C1521970', 'C1522634', 'C1524057', 'C1546437', 'C1546937', 'C1551083', 'C1654621', 'C1705285', 'C1705691', 'C1705692', 'C1706388', 'C2239193', 'C2346469', 'C2347509', 'C2348519', 'C2350440', 'C2587213', 'C2911684', 'C3161035', 'C3245479', 'C3714583', 'C3714741', 'C3816734', 'C3828709', 'C3842923', 'C3853906', 'C3854321', 'C3887511', 'C4042916', 'C4054467', 'C4054468', 'C4318409', 'C4319618', 'C4505106', 'C4505109', 'C4527431', 'C4528292', 'C4699379', 'C4761515', 'C4764257', 'C5205215', 'C5205297', 'C5206274', 'C5420392', 'C5420501', 'C5421311', 'C5446495', 'C5447528', 'C5555096', 'C5575229', 'C5668307', 'C5679898']",Loss of Function Mutations in ETS2 Repressor Factor (ERF) Reveal a Balance Between Positive and Negative ETS Factors Controlling Prostate Oncogenesis [VCaP RNA-Seq],Loss of Function Mutations in ETS2 Repressor Factor (ERF) Reveal a Balance Between Positive and Negative ETS Factors Controlling Prostate Oncogenesis [Organoids RNA-Seq],human_mouse
GSE103630,GSE103713,0.970873786407767,1.0,100,"['C0001792', 'C0002976', 'C0015609', 'C0017262', 'C0019409', 'C0025202', 'C0025361', 'C0025914', 'C0025929', 'C0026809', 'C0039484', 'C0039798', 'C0041904', 'C0086418', 'C0087111', 'C0162415', 'C0185117', 'C0205179', 'C0205195', 'C0206735', 'C0237834', 'C0242960', 'C0302600', 'C0332161', 'C0333348', 'C0349538', 'C0392747', 'C0442043', 'C0443172', 'C0543478', 'C0591833', 'C0599946', 'C0679846', 'C0683598', 'C0752248', 'C0796561', 'C0805525', 'C0877373', 'C0924206', 'C0935456', 'C0965743', 'C1257776', 'C1257975', 'C1264633', 'C1279919', 'C1279941', 'C1302746', 'C1326956', 'C1334699', 'C1367482', 'C1413131', 'C1417166', 'C1425745', 'C1442099', 'C1513143', 'C1514544', 'C1514562', 'C1514892', 'C1515926', 'C1516448', 'C1516710', 'C1517945', 'C1521726', 'C1521970', 'C1522326', 'C1533734', 'C1554103', 'C1609982', 'C1705169', 'C1705357', 'C1705358', 'C1706388', 'C1879753', 'C1947911', 'C1999216', 'C2249734', 'C2346469', 'C2348519', 'C2362314', 'C2911684', 'C2936194', 'C2936263', 'C3178810', 'C3178844', 'C3179204', 'C3811910', 'C3826426', 'C3830361', 'C3838813', 'C3854321', 'C3894549', 'C4235501', 'C4318409', 'C4521853', 'C4699379', 'C4723835', 'C4727081', 'C5202624', 'C5202892', 'C5575501']",Expression changes in melanoma cell lines pre MAPKi treatment vs. post-MAPKi resistance (RNA-seq_CellLine.batch2),Expression changes in YUMM1.7 melanoma with/without PD-L2 overexpression under BRAFi treatment in NSG mice [Y1.7.FPKM.batch4],human_mouse
